Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,4577280848,4566352505277716078,318,0,0.6245,0.6857,0.9953,2.3056,(C | Uniform),0,0
2,4577280624,4271803440269888655,318,0,0.6245,0.6857,0.9953,2.3056,(C | Scattered),0,0
3,4425987712,-2875216877191184522,318,0,0.6245,0.6857,0.9953,2.3056,(C | Uniform),0,0
4,4425988832,-2329235003684993664,318,0,0.6245,0.6857,0.9953,2.3056,(C | TimeSlotCrossover),0,0
5,4577280176,2803033207447365089,318,0,0.6245,0.6857,0.9953,2.3056,(C | Uniform),0,0
6,4425987376,569223918826890573,318,0,0.6245,0.6857,0.9953,2.3056,(C | Scattered),0,0
7,4425987264,32853281524094646,318,0,0.6245,0.6857,0.9953,2.3056,(C | KPoint(k=1)),0,0
8,4425989952,3306843390273636967,318,0,0.6245,0.6857,0.9953,2.3056,(C | TimeSlotCrossover),0,0
9,4425988608,1394902126119507849,318,0,0.6245,0.6857,0.9953,2.3056,(C | KPoint(k=2)),0,0
10,4577281072,2605677831453754708,318,0,0.6245,0.6857,0.9953,2.3056,(C | Scattered),0,0
11,4425987600,3160386750081829699,318,0,0.6245,0.6857,0.9953,2.3056,(C | Uniform),0,0
12,4425989168,-3773439022256818317,318,0,0.6245,0.6857,0.9953,2.3056,(C | Uniform),0,0
13,4425986704,-3279063462285047188,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),1,1
14,4425989392,-6524466403205247325,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
15,4425986928,1316557815778459672,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
16,4425989616,-3252764940512480819,318,0,0.6245,0.6857,0.9953,2.3056,(C | Scattered),0,0
17,4425989728,816614120430358413,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
18,4425988496,-1757358064642673279,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
19,4425989840,-4414192006696653018,318,0,0.6245,0.6857,0.9953,2.3056,(C | TimeSlotCrossover),0,0
20,4425987040,3789757911467665588,318,0,0.6245,0.6857,0.9953,2.3056,(C | KPoint(k=3)),0,0
21,4577280064,-1811855854485145915,318,0,0.6245,0.6857,0.9953,2.3056,(C | Scattered),0,0
22,4425988720,8241833455837529406,318,0,0.6245,0.6857,0.9953,2.3056,(C | KPoint(k=3)),0,0
23,4425988160,-1196627908481831744,318,0,0.6245,0.6857,0.9953,2.3056,(C | Scattered),0,0
24,4577280288,3722764144970324958,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
25,4425988272,-2353432977480322291,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
26,4577280736,-6424780557767554116,318,0,0.6245,0.6857,0.9953,2.3056,(C | LocationCrossover),0,0
27,4425989504,7416622488860168313,318,0,0.6249,0.6799,0.9953,2.3001,(C | TimeSlotCrossover),0,0
28,4425989280,-8709412524803485687,318,0,0.6249,0.6799,0.9953,2.3001,(C | Scattered),0,0
29,4577280960,-824451018490975821,318,0,0.6249,0.6799,0.9953,2.3001,(C | TimeSlotCrossover),0,0
30,4425987488,-1509024437604443186,318,0,0.6249,0.6799,0.9953,2.3001,(C | KPoint(k=2)),0,0
31,4425986816,-8829471489229853259,318,0,0.6249,0.6799,0.9953,2.3001,(C | Scattered),0,0
32,4425986592,-2910073028152378934,318,0,0.6249,0.6799,0.9953,2.3001,(C | RoundTypeCrossover),0,0
33,4425987824,-3546205380597369938,318,0,0.6249,0.6799,0.9953,2.3001,(C | Scattered),0,0
34,4425988048,-5264196511053518851,318,0,0.6249,0.6799,0.9953,2.3001,(C | Scattered),0,0
35,4425987936,5770539325482561043,318,0,0.6249,0.6799,0.9953,2.3001,(C | RoundTypeCrossover),0,0
36,4577280400,-3950950061893772767,318,0,0.6250,0.6686,0.9953,2.2889,(C | Scattered),1,0
37,4425988944,5170315147819312590,318,0,0.6250,0.6686,0.9953,2.2889,(C | Scattered),0,0
38,4425989056,624676421954930622,318,0,0.6250,0.6686,0.9953,2.2889,(C | Uniform),0,0
39,4425988384,-3245162213818644856,318,0,0.6250,0.6686,0.9953,2.2889,(C | Scattered),0,0
40,4425987152,-64251031357275961,318,0,0.6250,0.6686,0.9953,2.2889,(C | KPoint(k=3)),1,0
