Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,,58408,58575,58709,59320,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,58408,65302,63371,58709,60950,64424,73598,59828
09:11,61859,58575,57674,64425,66339,65253,59320,63372
09:22,74586,70462,61147,60950,68279,59826,71263,66737
09:33,65253,67231,65867,64424,64425,66339,74585,18686
09:44,63371,61798,63372,74584,74057,71211,67555,65302
09:55,4893,61147,66737,72160,31853,61859,53457,73685
10:06,13864,31855,3703,67239,,55394,,
10:17,54584,26789,55396,67555,53313,13867,51930,68279
10:28,,,71211,70462,65867,49129,54665,67231
10:39,18686,67239,,,13867,40146,56419,31854
10:50,55394,58709,31855,74586,74585,51930,31853,71263
11:01,57674,59828,13864,74057,31854,72160,58575,73598
11:12,53457,3703,54665,56419,73685,26789,49129,74584
11:23,58408,4893,53313,54584,59826,55396,40146,59320

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61798,63372,57674,68279,31853,40146,53457,56419
14:07,74586,65302,63371,74057,73685,59828,74585,74584
14:15,31854,71263,71211,64424,3703,59320,65867,72160
14:22,64425,55394,60950,4893,59826,51930,49129,68279
14:30,61859,13867,58709,70462,13864,18686,54665,66737
14:37,53457,67239,55396,66339,60950,65253,67555,31855
14:45,58575,67231,13867,54584,58408,66737,61859,53313
14:52,73598,59320,26789,74584,74057,40146,,
15:00,31853,61147,3703,58709,13864,64424,54665,18686
15:07,54584,61798,59826,71263,74585,55394,72160,74586
15:15,4893,65302,56419,64425,49129,31855,73685,63372
15:22,57674,58575,61147,67555,66339,71211,51930,31853
15:30,31854,4893,67231,74057,60950,26789,65867,59828
15:37,57674,55396,63372,67239,68279,58408,58709,73598
15:45,65253,59826,49129,64424,31854,13867,70462,71263
15:52,53457,26789,66737,53313,59828,61859,73598,63371
16:00,55394,31855,54665,72160,58408,55396,59320,61147
16:07,65867,3703,18686,74586,67231,40146,67555,73685
16:15,61798,70462,13864,74584,53313,65302,58575,54584
16:22,66339,51930,71211,67239,64425,74585,56419,65253

