Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,64425,65253,
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,56419,70462,61147,59828,64424,59826,74584,58408
09:11,61859,58709,59320,63372,67555,65253,60950,64425
09:22,74586,65867,63371,64424,66339,58575,71263,68279
09:33,65253,67239,63372,67555,59826,67231,74585,18686
09:44,61147,61798,64425,72160,73598,74057,65302,70462
09:55,4893,63371,68279,71211,31853,61859,,
10:06,61798,31855,3703,66737,13864,55394,54665,67239
10:17,54584,26789,55396,65302,53313,13867,51930,66339
10:28,,,74057,65867,,,53457,73685
10:39,67231,49129,18686,66737,13867,40146,57674,31854
10:50,55394,59828,31855,74586,74585,51930,31853,71263
11:01,59320,58408,13864,73598,31854,71211,58709,74584
11:12,53457,3703,54665,60950,73685,26789,49129,72160
11:23,56419,4893,53313,54584,58575,55396,40146,57674

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,53313,4893,61798,64425,13864,40146,53457,60950
14:07,74586,70462,61147,73598,73685,58408,74585,72160
14:15,71211,67231,56419,3703,59826,74057,71263,31854
14:22,58709,53457,59320,64424,58575,51930,49129,66339
14:30,49129,68279,67239,65867,,,54665,71263
14:37,31853,63372,55396,67555,64424,65253,65302,31855
14:45,61859,67239,71211,54584,31854,53313,40146,18686
14:52,61147,71263,13867,72160,66339,40146,74584,57674
15:00,67231,63371,3703,59828,31853,59826,54665,18686
15:07,54584,61798,31855,67239,74585,55394,13867,74586
15:15,4893,70462,55396,63372,60950,58575,73685,64425
15:22,59320,58709,63371,65302,67555,74057,51930,31853
15:30,65867,68279,26789,64424,61859,13864,49129,58408
15:37,59320,4893,64425,66737,66339,56419,59828,74584
15:45,65253,58575,59826,73598,31854,13867,57674,55394
15:52,53457,26789,68279,53313,58408,61859,74584,61147
16:00,55394,31855,54665,71211,56419,55396,57674,63371
16:07,67231,3703,18686,74586,59828,26789,65302,73685
16:15,61798,65867,13864,72160,73598,70462,58709,54584
16:22,67555,51930,74057,66737,63372,74585,60950,65253

