Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,61147,56419,67239,70462,67555,64424,63371,60950
09:11,59320,59828,58575,67231,57674,61859,73598,65867
09:22,63372,63371,71263,65253,59826,60950,61798,61147
09:33,31853,66737,66339,74585,72160,68279,74584,73685
09:44,61798,65302,13867,64424,64425,74057,71211,61859
09:55,,,67239,3703,65867,74586,67231,67555
10:06,31854,65253,31855,18686,26789,70462,64425,63372
10:17,4893,66339,51930,68279,54665,65302,13864,49129
10:28,66737,53313,73685,73598,53457,55396,40146,55394
10:39,,,54665,74584,58408,72160,51930,71263
10:50,,,54584,74057,49129,26789,74585,71211
11:01,58709,4893,57674,59828,74586,58408,31855,59320
11:12,40146,13867,55396,13864,55394,3703,53313,56419
11:23,53457,18686,59826,58709,31854,54584,31853,58575

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,66737,4893,53457,68279,55394,31853,74584,65867
14:07,57674,70462,73685,59828,74586,72160,64425,71211
14:15,63371,65302,71263,67231,31854,74585,13864,60950
14:22,4893,58575,55396,26789,54584,61859,66339,49129
14:30,70462,13867,73598,18686,58709,74057,61798,67555
14:37,61147,65253,67239,59320,54665,3703,51930,56419
14:45,59826,18686,53457,74584,49129,58408,67231,64424
14:52,63372,59828,60950,65253,3703,65302,40146,53313
15:00,31854,66737,64424,74057,55394,74585,63371,65867
15:07,61798,66339,13867,73598,31855,55396,59826,73685
15:15,31853,63371,51930,13864,54584,26789,72160,71263
15:22,57674,66737,67239,68279,31854,55396,58709,61859
15:30,63372,58408,71211,64424,74585,74586,53313,59320
15:37,49129,56419,58575,58709,31855,74057,67555,
15:45,51930,4893,54665,65253,64425,65302,74584,61147
15:52,40146,58575,13867,13864,58408,60950,31855,70462
16:00,59320,18686,59826,59828,67555,68279,73598,61859
16:07,53457,64425,54665,57674,72160,54584,61798,73685
16:15,71211,66339,67239,31853,65867,40146,74586,63372
16:22,61147,53313,71263,3703,26789,56419,67231,55394

