Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,61147,57674,70462,66339,67239,64424,65253,63371
09:11,58408,56419,58575,67231,59826,61859,73598,65867
09:22,63372,65253,71263,60950,58709,63371,61798,61147
09:33,31854,66737,74585,67555,72160,68279,74584,73685
09:44,61798,65302,26789,64424,64425,74057,71211,61859
09:55,,,70462,31855,65867,74586,67231,67239
10:06,18686,60950,13864,4893,13867,66339,64425,63372
10:17,31853,67555,51930,68279,54665,65302,3703,55394
10:28,66737,53313,73685,73598,53457,55396,40146,49129
10:39,,,54665,74584,59828,72160,51930,71263
10:50,,,54584,74057,55394,13867,74585,71211
11:01,59320,31853,59826,56419,74586,59828,13864,58408
11:12,40146,26789,55396,3703,49129,31855,53313,57674
11:23,53457,4893,58709,59320,18686,54584,31854,58575

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,66737,31853,53457,68279,49129,31854,74584,65867
14:07,59826,66339,73685,56419,74586,72160,64425,71211
14:15,65253,65302,71263,67231,18686,74585,3703,63371
14:22,31853,58575,55396,13867,54584,61859,67555,55394
14:30,66339,26789,73598,4893,59320,74057,61798,67239
14:37,61147,60950,70462,58408,54665,31855,51930,57674
14:45,63372,58709,53457,74584,55394,59828,67231,64424
14:52,4893,56419,63371,60950,31855,65302,40146,53313
15:00,18686,66737,64424,74057,49129,74585,65253,65867
15:07,61798,67555,26789,73598,13864,55396,58709,73685
15:15,31854,65253,51930,3703,54584,13867,72160,71263
15:22,59826,66737,70462,68279,18686,55396,59320,61859
15:30,63372,59828,71211,64424,74585,74586,53313,58408
15:37,55394,57674,58575,59320,13864,74057,67239,
15:45,51930,31853,54665,60950,64425,65302,74584,61147
15:52,40146,58575,26789,3703,59828,63371,13864,66339
16:00,58408,4893,58709,56419,67239,68279,73598,61859
16:07,53457,64425,54665,59826,72160,54584,61798,73685
16:15,71211,67555,70462,31854,65867,40146,74586,63372
16:22,61147,53313,71263,31855,13867,57674,67231,49129

