Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,,58709,59320,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,61147,57674,70462,66339,67239,60950,65253,64424
09:11,59320,56419,58575,67231,58408,63372,73598,65867
09:22,61859,65253,71263,63371,59826,64424,61798,61147
09:33,13864,66737,74585,67555,72160,68279,74584,73685
09:44,61798,65302,31854,60950,64425,74057,71211,63372
09:55,,,70462,4893,65867,74586,67231,67239
10:06,18686,63371,31855,13867,3703,66339,64425,61859
10:17,26789,67555,51930,68279,40146,65302,31853,54584
10:28,66737,53313,73685,73598,53457,55394,55396,49129
10:39,,,40146,74584,59828,72160,51930,71263
10:50,,,54665,74057,54584,3703,74585,71211
11:01,58709,26789,58408,56419,74586,59828,31855,59320
11:12,55396,31854,55394,31853,49129,4893,53313,57674
11:23,53457,13867,59826,58709,18686,54665,13864,58575

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,66737,26789,53457,68279,49129,13864,74584,65867
14:07,58408,66339,73685,56419,74586,72160,64425,71211
14:15,65253,65302,71263,67231,18686,74585,31853,64424
14:22,26789,58575,55394,3703,54665,63372,67555,54584
14:30,66339,31854,73598,13867,58709,74057,61798,67239
14:37,61147,63371,70462,59320,40146,4893,51930,57674
14:45,61859,59826,53457,74584,54584,59828,67231,60950
14:52,13867,56419,64424,63371,4893,65302,55396,53313
15:00,18686,66737,60950,74057,49129,74585,65253,65867
15:07,61798,67555,31854,73598,31855,55394,59826,73685
15:15,13864,65253,51930,31853,54665,3703,72160,71263
15:22,58408,66737,70462,68279,18686,55394,58709,63372
15:30,61859,59828,71211,60950,74585,74586,53313,59320
15:37,54584,57674,58575,58709,31855,74057,67239,
15:45,51930,26789,40146,63371,64425,65302,74584,61147
15:52,55396,58575,31854,31853,59828,64424,31855,66339
16:00,59320,13867,59826,56419,67239,68279,73598,63372
16:07,53457,64425,40146,58408,72160,54665,61798,73685
16:15,71211,67555,70462,13864,65867,55396,74586,61859
16:22,61147,53313,71263,4893,3703,57674,67231,49129

