Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1360559155776,-6887466669338745802,318,0,0.6095,0.6478,0.9047,2.1620,(C | Scattered),0,0
2,1360559156672,-5445833213131091486,318,0,0.6095,0.6478,0.9047,2.1620,(C | KPoint(k=3)),0,0
3,1360559156112,4734115318375662265,318,0,0.6095,0.6478,0.9047,2.1620,(C | TimeSlotCrossover),0,0
4,1360559151744,-8271614489190276519,318,0,0.6095,0.6478,0.9047,2.1620,(C | KPoint(k=3)),1,0
5,1360559153200,-2145231985838322432,318,0,0.6095,0.6478,0.9047,2.1620,(C | KPoint(k=3)),0,0
6,1360559145360,-6702882919683932578,318,0,0.6095,0.6478,0.9047,2.1620,(C | Uniform),0,0
7,1360551132880,4758630837507737431,318,0,0.6095,0.6478,0.9047,2.1620,(C | KPoint(k=2)),0,0
8,1360551132544,8298764279282918252,318,0,0.6095,0.6478,0.9047,2.1620,(C | Uniform),0,0
9,1360559152976,-468359719498314793,318,0,0.6095,0.6478,0.9047,2.1620,(C | Scattered),0,0
10,1360559155440,-9035649696480064283,318,0,0.6095,0.6478,0.9047,2.1620,(C | Uniform),0,0
11,1360559145584,4965497688352464543,318,0,0.6095,0.6478,0.9047,2.1620,(C | LocationCrossover),0,0
12,1360551131536,7791757002432611700,318,0,0.6095,0.6478,0.9047,2.1620,(C | Scattered),0,0
13,1360559154768,-3746022941136519397,318,0,0.6095,0.6478,0.9047,2.1620,(C | TimeSlotCrossover),0,0
14,1360559149728,-746558007526897438,318,0,0.6095,0.6478,0.9047,2.1620,(C | Uniform),0,0
15,1360559154992,-3842452497861978752,318,0,0.6095,0.6478,0.9047,2.1620,(C | LocationCrossover),0,0
16,1360551131984,-7873120632228255667,318,0,0.6095,0.6478,0.9047,2.1620,(C | KPoint(k=3)),1,0
17,1360559148832,2855589435893435077,318,0,0.5898,0.6497,0.8946,2.1341,(C | LocationCrossover),0,0
18,1360559156896,3867149369992825661,318,0,0.5898,0.6497,0.8946,2.1341,(C | KPoint(k=2)),0,0
19,1360559155104,-3105861396544010688,318,0,0.5898,0.6497,0.8946,2.1341,(C | KPoint(k=3)),0,0
20,1360559150960,-6344896304725177356,318,0,0.5888,0.6526,0.8202,2.0616,(C | Uniform),1,1
21,1360559153424,5152370076005712336,318,0,0.5888,0.6526,0.8202,2.0616,(C | TimeSlotCrossover),0,0
22,1360559150736,-1706692061259903091,318,0,0.5888,0.6526,0.8202,2.0616,(C | Scattered),1,0
23,1360551132208,6318764629792508980,318,0,0.5888,0.6526,0.8202,2.0616,(C | LocationCrossover),0,0
24,1360559150512,6753889258609337152,318,0,0.5888,0.6526,0.8202,2.0616,(C | KPoint(k=1)),0,0
25,1360551132992,-2771917273024128972,318,0,0.5888,0.6526,0.8202,2.0616,(C | TimeSlotCrossover),0,0
26,1360559154208,5495247329844149052,318,0,0.5888,0.6526,0.8202,2.0616,(C | LocationCrossover),0,0
27,1360559154544,-8944151358215927960,318,0,0.5888,0.6526,0.8202,2.0616,(C | KPoint(k=1)),0,0
28,1360551131760,6017691378048636016,318,0,0.5888,0.6526,0.8202,2.0616,(C | LocationCrossover),0,0
29,1360559156336,3368966281686235268,318,1,0.6001,0.6462,0.9047,2.1511,(C | TimeSlotCrossover),0,0
30,1360559146928,8129979810805074502,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=1)),0,0
31,1360559146592,-2064439534021901786,318,1,0.6001,0.6462,0.9047,2.1511,(C | Uniform),0,0
32,1360551132768,-4554104286863896738,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=2)),0,0
33,1360559146144,6009664574962044943,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=3)),0,0
34,1360559152640,8848699321948433737,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=3)),0,0
35,1360559151520,2369255241841806663,318,1,0.6001,0.6462,0.9047,2.1511,(C | Uniform),0,0
36,1360551131200,180027862989971527,318,1,0.6001,0.6462,0.9047,2.1511,(C | TimeSlotCrossover),0,0
37,1360559147488,-4898767872667095239,318,1,0.6001,0.6462,0.9047,2.1511,(C | Uniform),0,0
38,1360551130976,-182406534673102095,318,1,0.6001,0.6462,0.9047,2.1511,(C | Uniform),0,0
39,1360559152192,-4667872208274808870,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=3)),0,0
40,1360559151072,4291038064599621087,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=2)),0,0
41,1360559152528,-1434946336399983694,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=2)),0,0
42,1360559150400,6711686875287233095,318,1,0.6001,0.6462,0.9047,2.1511,(C | TimeSlotCrossover),0,0
43,1360559150176,8402857251071232735,318,1,0.6001,0.6462,0.9047,2.1511,(C | KPoint(k=2)),0,0
44,1360559151856,5629187300972853233,318,1,0.6001,0.6462,0.9047,2.1511,(C | Uniform),0,0
45,1360551131424,2904643756576222209,318,1,0.5898,0.6497,0.8946,2.1340,(C | Uniform),0,0
46,1360559154432,5681549486105845650,318,1,0.5898,0.6497,0.8946,2.1340,(C | Scattered),0,0
47,1360559154880,4216751155675037169,318,1,0.5898,0.6497,0.8946,2.1340,(C | LocationCrossover),1,1
48,1360559154096,-5452520931508524120,318,1,0.5898,0.6497,0.8946,2.1340,(C | RoundTypeCrossover),0,0
49,1360559150624,-7724593524923887486,318,1,0.5898,0.6497,0.8946,2.1340,(C | TimeSlotCrossover),0,0
50,1360559149504,8743385981833357138,318,1,0.5898,0.6497,0.8946,2.1340,(C | KPoint(k=1)),1,0
51,1360559151296,1764592520541861050,318,1,0.5898,0.6497,0.8946,2.1340,(C | LocationCrossover),0,0
52,1360559152864,-6566127959369625001,318,1,0.5898,0.6497,0.8946,2.1340,(C | TimeSlotCrossover),0,0
53,1360559148048,3307689996941651764,318,1,0.5898,0.6497,0.8946,2.1340,(C | TimeSlotCrossover),0,0
54,1360559149616,776496258145022307,318,1,0.5898,0.6497,0.8946,2.1340,(C | KPoint(k=2)),0,0
55,1360559145472,7559879599473476507,318,1,0.5898,0.6497,0.8946,2.1340,(C | Uniform),0,0
56,1360559153312,-3585899987127226374,318,1,0.5898,0.6497,0.8946,2.1340,(C | TimeSlotCrossover),0,0
57,1360559146032,1597319540332397388,318,1,0.5804,0.6475,0.9047,2.1326,(C | LocationCrossover),0,0
58,1360559148720,-4363877028331031211,318,1,0.5804,0.6475,0.9047,2.1326,(C | Scattered),1,0
59,1360559148160,231326069807320672,318,1,0.5804,0.6475,0.9047,2.1326,(C | TimeSlotCrossover),0,0
60,1360559149952,5118528293221587733,318,1,0.5804,0.6475,0.9047,2.1326,(C | Scattered),0,0
61,1360559151968,-1460657999499444057,318,1,0.5804,0.6475,0.9047,2.1326,(C | LocationCrossover),0,0
62,1360559155216,7655904258163802245,318,1,0.5804,0.6475,0.9047,2.1326,(C | TimeSlotCrossover),1,1
63,1360551132320,2669272531955341723,318,1,0.5804,0.6475,0.9047,2.1326,(C | TimeSlotCrossover),0,0
64,1360551131872,-171096067472954768,318,1,0.5804,0.6475,0.9047,2.1326,(C | Scattered),0,0
65,1360559145920,-7870247817891426375,318,1,0.5804,0.6475,0.9047,2.1326,(C | LocationCrossover),0,0
66,1360559153648,9194992954036752040,318,1,0.5804,0.6475,0.9047,2.1326,(C | Uniform),0,0
67,1360559152304,-6500949198177455740,318,1,0.5804,0.6475,0.9047,2.1326,(C | Scattered),0,0
68,1360559148272,-6765083876247780328,318,1,0.5804,0.6475,0.9047,2.1326,(C | KPoint(k=3)),0,0
69,1360559152080,8132197600248689107,318,1,0.5804,0.6475,0.9047,2.1326,(C | LocationCrossover),0,0
70,1360551132432,-196711261821009455,318,1,0.5804,0.6475,0.9047,2.1326,(C | TimeSlotCrossover),0,0
71,1360559154656,5335568353745351014,318,1,0.5804,0.6475,0.9047,2.1326,(C | Uniform),0,0
72,1360559155328,-1193965483913875460,318,2,0.5886,0.6444,0.9047,2.1378,(C | LocationCrossover),1,0
73,1360551132656,9069051851733346218,318,2,0.5886,0.6444,0.9047,2.1378,(C | Scattered),0,0
74,1360551130864,6462846843819383668,318,2,0.5886,0.6444,0.9047,2.1378,(C | KPoint(k=3)),0,0
75,1360559151632,5329591046160344825,318,2,0.5886,0.6444,0.9047,2.1378,(C | Scattered),0,0
76,1360559150288,-1235042651673376774,318,2,0.5886,0.6444,0.9047,2.1378,(C | Scattered),0,0
77,1360559145136,4675991449461911,318,2,0.5886,0.6444,0.9047,2.1378,(C | RoundTypeCrossover),1,0
78,1360559151184,6423421953663092575,318,2,0.5886,0.6444,0.9047,2.1378,(C | Uniform),0,0
79,1360559145024,1719241126158434375,318,2,0.5886,0.6444,0.9047,2.1378,(C | LocationCrossover),0,0
80,1360559154320,-405041364379024931,318,2,0.5886,0.6444,0.9047,2.1378,(C | KPoint(k=3)),0,0
81,1360559146368,5446822363957103727,318,2,0.5886,0.6444,0.9047,2.1378,(C | KPoint(k=2)),0,0
82,1360559149056,374084961030337797,318,2,0.5886,0.6444,0.9047,2.1378,(C | KPoint(k=3)),0,0
83,1360559152752,6642969248229039556,318,2,0.5886,0.6444,0.9047,2.1378,(C | LocationCrossover),0,0
84,1360551131312,-7870832062298781581,318,2,0.5886,0.6444,0.9047,2.1378,(C | LocationCrossover),0,0
85,1360559153984,-978794266459905298,318,2,0.5886,0.6444,0.9047,2.1378,(C | KPoint(k=3)),0,0
86,1360559156784,5190946093439691363,318,2,0.5886,0.6444,0.9047,2.1378,(C | TimeSlotCrossover),0,0
87,1360559153872,-8204181586013676731,318,2,0.5886,0.6444,0.9047,2.1378,(C | KPoint(k=2)),0,0
88,1360559155552,-1002156915537546579,318,2,0.5803,0.6475,0.9047,2.1325,(C | LocationCrossover),0,0
89,1360559145248,-5545402859335398423,318,2,0.5803,0.6475,0.9047,2.1325,(C | Uniform),0,0
90,1360559147152,6967819586427844552,318,2,0.5803,0.6475,0.9047,2.1325,(C | LocationCrossover),0,0
91,1360559156224,-4014621939710592937,318,2,0.5803,0.6475,0.9047,2.1325,(C | TimeSlotCrossover),0,0
92,1360559147936,-2272213854390277389,318,2,0.5803,0.6475,0.9047,2.1325,(C | LocationCrossover),0,0
93,1360559147264,-5303803548963047934,318,2,0.5803,0.6475,0.9047,2.1325,(C | LocationCrossover),0,0
