Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,33,27,28,35,19,29,32,47
09:11,37,45,43,21,42,41,26,40
09:22,48,36,30,22,51,20,25,24
09:33,29,52,28,50,38,32,27,3
09:44,42,31,35,34,39,33,30,1
09:55,36,53,9,47,5,8,44,40
10:06,34,11,49,7,16,2,6,31
10:17,41,4,17,15,,,39,50
10:28,18,44,46,12,51,37,45,53
10:39,49,13,10,43,,,38,48
10:50,15,6,23,11,14,7,,
11:01,19,25,46,24,2,20,18,12
11:12,52,22,21,17,10,16,4,26
11:23,5,23,13,14,3,9,1,8

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,27,11,17,22,10,16,38,8
14:07,18,36,9,33,44,7,39,1
14:15,49,25,21,34,53,23,30,3
14:22,29,22,10,35,14,37,6,26
14:30,36,52,41,50,5,43,18,40
14:37,34,3,28,11,49,15,45,12
14:45,37,20,46,48,47,33,6,51
14:52,19,21,13,7,16,35,25,1
15:00,5,50,30,27,38,2,32,24
15:07,52,4,9,17,42,20,26,23
15:15,46,45,28,43,39,29,40,51
15:22,33,44,36,,8,32,10,31
15:30,19,22,7,34,42,16,1,26
15:37,46,4,41,24,51,11,18,14
15:45,47,53,49,12,2,25,24,50
15:52,52,31,45,15,19,8,38,40
16:00,5,13,35,14,28,37,27,48
16:07,30,6,43,47,53,9,4,17
16:15,42,23,31,2,3,29,39,12
16:22,15,13,20,21,32,41,44,48

