Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1538389042208,6890857851824715700,318,0,0.6194,0.6431,0.9047,2.1672,(C | RoundTypeCrossover),0,0
2,1538389039632,443514067957879233,318,0,0.6194,0.6431,0.9047,2.1672,(C | KPoint(k=3)),0,0
3,1538381509824,-3103695318571824937,318,0,0.6194,0.6431,0.9047,2.1672,(C | TimeSlotCrossover),0,0
4,1538381509600,540884147675393230,318,0,0.6194,0.6431,0.9047,2.1672,(C | KPoint(k=2)),0,0
5,1538381511952,4475807864272044804,318,0,0.6194,0.6431,0.9047,2.1672,(C | TimeSlotCrossover),0,0
6,1538389041872,-5693891923334637859,318,0,0.6194,0.6431,0.9047,2.1672,(C | TimeSlotCrossover),0,0
7,1538389037168,2055305100112660980,318,0,0.6194,0.6431,0.9047,2.1672,(C | TimeSlotCrossover),0,0
8,1538389042320,-1660410371834799232,318,0,0.6194,0.6431,0.9047,2.1672,(C | RoundTypeCrossover),0,0
9,1538389038848,4498936140723968259,318,0,0.6194,0.6431,0.9047,2.1672,(C | KPoint(k=3)),0,0
10,1538389038736,-601004792394209239,318,0,0.6194,0.6431,0.9047,2.1672,(C | KPoint(k=3)),0,0
11,1538389042992,-9021474241463740076,318,0,0.6194,0.6431,0.9047,2.1672,(C | LocationCrossover),0,0
12,1538389034032,-8698476813904393011,318,0,0.6194,0.6431,0.9047,2.1672,(C | Uniform),0,0
13,1538389040528,-5411747352482700475,318,0,0.6225,0.6478,0.8946,2.1649,(C | Scattered),0,0
14,1538381510496,2393612306341102404,318,0,0.6225,0.6478,0.8946,2.1649,(C | KPoint(k=3)),0,0
15,1538389033136,3670725407413141135,318,0,0.6106,0.6478,0.9047,2.1631,(C | Scattered),0,0
16,1538389036608,-3576832631852221038,318,0,0.6106,0.6478,0.9047,2.1631,(C | KPoint(k=3)),0,0
17,1538381509488,-4078883158377914854,318,0,0.6101,0.6478,0.9047,2.1626,(C | Scattered),0,0
18,1538381512176,-5685188380085250119,318,0,0.6101,0.6478,0.9047,2.1626,(C | KPoint(k=3)),0,0
19,1538381508816,5697654362846834381,318,0,0.6101,0.6478,0.9047,2.1626,(C | LocationCrossover),0,0
20,1538389039296,-2705878357221285689,318,0,0.6101,0.6478,0.9047,2.1626,(C | LocationCrossover),0,0
21,1538389037056,3067754055294305067,318,0,0.6101,0.6478,0.9047,2.1626,(C | TimeSlotCrossover),0,0
22,1538389040640,-6210472847668080465,318,0,0.6101,0.6478,0.9047,2.1626,(C | Scattered),0,0
23,1538389039408,2386094459046859389,318,0,0.6101,0.6478,0.9047,2.1626,(C | TimeSlotCrossover),0,0
24,1538389035376,-8081755166063300006,318,0,0.6101,0.6478,0.9047,2.1626,(C | KPoint(k=2)),0,0
25,1538389036272,-4670075953720219422,318,0,0.6101,0.6478,0.9047,2.1626,(C | Uniform),0,0
26,1538381510944,-3040754398905893156,318,0,0.6101,0.6478,0.9047,2.1626,(C | Scattered),0,0
27,1538389038064,-2408342565383442490,318,0,0.6101,0.6478,0.9047,2.1626,(C | TimeSlotCrossover),0,0
28,1538389042656,5657034009502850064,318,0,0.5997,0.6569,0.9047,2.1614,(C | KPoint(k=1)),0,0
29,1538381512400,3710259856560431507,318,0,0.5997,0.6569,0.9047,2.1614,(C | Uniform),0,0
30,1538389033360,506339823599645649,318,0,0.5997,0.6569,0.9047,2.1614,(C | LocationCrossover),0,0
31,1538389033696,390293501726919481,318,0,0.5997,0.6569,0.9047,2.1614,(C | Scattered),0,0
32,1538389034928,-1851620422315053083,318,0,0.5997,0.6569,0.9047,2.1614,(C | Scattered),0,0
33,1538389038960,4242643140455354643,318,0,0.5997,0.6569,0.9047,2.1614,(C | TimeSlotCrossover),0,0
34,1538389043552,-5713332340947662715,318,0,0.5997,0.6569,0.9047,2.1614,(C | TimeSlotCrossover),0,0
