Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,33,28,29,35,23,31,39,51
09:11,43,52,37,24,42,40,22,36
09:22,45,32,27,21,47,26,25,19
09:33,31,4,29,48,38,39,28,6
09:44,42,30,35,34,41,33,27,2
09:55,32,53,3,51,7,8,44,36
10:06,34,11,46,1,18,50,49,30
10:17,40,9,10,14,,,41,48
10:28,16,44,5,17,47,43,52,53
10:39,46,13,15,37,49,14,38,45
10:50,,,20,11,12,1,,
11:01,23,25,5,19,50,26,16,17
11:12,4,21,24,10,15,18,9,22
11:23,7,20,13,12,6,3,2,8

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,28,11,10,21,49,18,38,8
14:07,16,32,3,33,44,1,41,2
14:15,46,25,24,34,53,20,27,6
14:22,31,21,15,35,12,43,49,22
14:30,32,4,40,48,7,37,16,36
14:37,34,6,29,11,46,14,52,17
14:45,43,26,5,45,51,33,49,47
14:52,23,24,13,1,18,35,25,2
15:00,7,30,27,28,38,50,39,19
15:07,4,9,3,10,42,26,22,20
15:15,5,52,29,37,41,31,36,47
15:22,33,44,48,,8,39,23,30
15:30,40,26,1,34,42,18,2,22
15:37,5,9,15,24,47,11,16,12
15:45,51,53,46,17,50,25,19,48
15:52,4,30,52,14,23,8,38,36
16:00,7,13,35,12,29,43,28,45
16:07,32,21,37,51,53,3,9,10
16:15,42,20,15,19,6,31,41,17
16:22,14,13,27,50,39,40,44,45

