Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1460251846000,2691942840246063545,318,0,0.6256,0.6475,0.9047,2.1778,(C | Uniform),0,0
2,1460251837152,60143158218100415,318,0,0.6256,0.6475,0.9047,2.1778,(C | KPoint(k=3)),0,0
3,1460251842192,9164423377170183003,318,0,0.6256,0.6475,0.9047,2.1778,(C | TimeSlotCrossover),0,0
4,1460251836816,4417871292193300149,318,0,0.6256,0.6475,0.9047,2.1778,(C | Scattered),0,0
5,1460243463888,5192831823876573206,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
6,1460251848576,-764283895388494672,318,0,0.6118,0.6544,0.9047,2.1709,(C | KPoint(k=1)),0,0
7,1460251844992,9203794624779922773,318,0,0.6118,0.6544,0.9047,2.1709,(C | Uniform),0,0
8,1460251843872,-5880358468287858397,318,0,0.6118,0.6544,0.9047,2.1709,(C | KPoint(k=1)),0,0
9,1460251838160,-6051750198677814387,318,0,0.6118,0.6544,0.9047,2.1709,(C | KPoint(k=1)),1,0
10,1460251841520,-3174977227082981053,318,0,0.6118,0.6544,0.9047,2.1709,(C | Scattered),0,0
11,1460251838384,-6359639796295849098,318,0,0.6118,0.6544,0.9047,2.1709,(C | KPoint(k=3)),0,0
12,1460251844544,858693248164849111,318,0,0.6118,0.6544,0.9047,2.1709,(C | KPoint(k=3)),0,0
13,1460251838048,1767753782228308709,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
14,1460251847568,7816304013243405522,318,0,0.6118,0.6544,0.9047,2.1709,(C | LocationCrossover),0,0
15,1460251837040,6815183002087848815,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
16,1460243463776,8511601253076648388,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
17,1460251848016,9097107680493065057,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
18,1460251841408,-7879110981248105879,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
19,1460251846336,927319484636254158,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),1,1
20,1460251843536,8280188353409350627,318,0,0.6118,0.6544,0.9047,2.1709,(C | TimeSlotCrossover),0,0
21,1460251842528,-552715045323383810,318,0,0.6240,0.6515,0.8872,2.1626,(C | Scattered),0,0
22,1460251845216,-8295438611046617653,318,0,0.6240,0.6515,0.8872,2.1626,(C | KPoint(k=3)),0,0
23,1460251839280,-6420889339412482095,318,0,0.6240,0.6515,0.8872,2.1626,(C | KPoint(k=1)),0,0
24,1460251848800,-7923797857941702422,318,0,0.6240,0.6515,0.8872,2.1626,(C | Scattered),0,0
25,1460251846784,3703596397436804852,318,0,0.6240,0.6515,0.8872,2.1626,(C | Uniform),0,0
26,1460251842080,6652739784034459090,318,1,0.6250,0.6475,0.9047,2.1772,(C | Scattered),0,0
