Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,27,32,28,30,25,29,34,52
09:11,42,50,37,21,31,40,20,38
09:22,43,35,46,26,53,24,19,23
09:33,29,1,28,45,41,34,27,33
09:44,31,6,30,51,36,32,46,8
09:55,35,44,9,52,2,4,39,38
10:06,51,10,48,7,11,47,49,33
10:17,40,5,18,16,,,36,45
10:28,14,39,3,17,53,42,50,44
10:39,48,13,15,37,,,41,43
10:50,16,49,22,10,12,7,,
11:01,25,19,3,23,47,24,14,17
11:12,1,26,21,18,15,11,5,20
11:23,2,22,13,12,6,9,8,4

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,27,10,18,26,49,11,41,4
14:07,14,35,9,32,39,7,36,8
14:15,48,19,21,51,44,22,46,6
14:22,29,33,15,30,12,42,49,20
14:30,35,1,40,45,2,37,14,38
14:37,51,6,28,10,48,16,50,17
14:45,42,24,3,43,52,32,49,53
14:52,25,21,13,7,11,30,19,8
15:00,40,26,46,27,41,47,34,23
15:07,1,5,9,18,31,24,20,22
15:15,3,50,28,37,36,29,38,53
15:22,32,39,2,45,4,34,25,33
15:30,23,,7,51,31,11,8,20
15:37,3,5,15,21,53,10,14,12
15:45,52,44,48,17,47,19,24,45
15:52,1,33,50,16,25,4,41,38
16:00,2,13,30,12,28,42,27,43
16:07,35,26,37,52,44,9,5,18
16:15,31,22,15,23,6,29,36,17
16:22,16,13,46,47,34,40,39,43

