Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1460971080384,-2178874019280127010,318,0,0.6291,0.6546,0.9047,2.1884,(C | KPoint(k=3)),0,0
2,1460971083296,3969743177787825050,318,0,0.6291,0.6546,0.9047,2.1884,(C | KPoint(k=1)),0,0
3,1460971091584,-8742100317702637768,318,0,0.6291,0.6546,0.9047,2.1884,(C | KPoint(k=1)),0,0
4,1460971082624,-1453786784927407476,318,0,0.6291,0.6546,0.9047,2.1884,(C | KPoint(k=3)),1,0
5,1460971088336,-1886931664595206232,318,0,0.6291,0.6546,0.9047,2.1884,(C | KPoint(k=3)),0,0
6,1460971085312,1165899536101249977,318,0,0.6291,0.6546,0.9047,2.1884,(C | LocationCrossover),0,0
7,1460971091472,-3556667035627991112,318,0,0.6291,0.6546,0.9047,2.1884,(C | TimeSlotCrossover),0,0
8,1460971083856,1055641810043888474,318,0,0.6291,0.6546,0.9047,2.1884,(C | LocationCrossover),0,0
9,1460971091136,7488390518780968491,318,0,0.6291,0.6546,0.9047,2.1884,(C | TimeSlotCrossover),0,0
10,1460971086880,5582804028641011565,318,0,0.6291,0.6546,0.9047,2.1884,(C | Uniform),0,0
11,1460971092032,-1388335125712080735,318,0,0.6291,0.6546,0.9047,2.1884,(C | KPoint(k=3)),0,0
12,1460971080720,-5236969750477158196,318,0,0.6291,0.6546,0.9047,2.1884,(C | Uniform),0,0
13,1460971081392,-8398807372307910389,318,0,0.6291,0.6546,0.9047,2.1884,(C | Uniform),0,0
14,1460971079040,-2903523674670719940,318,0,0.6291,0.6546,0.9047,2.1884,(C | Scattered),0,0
15,1460971080048,4848928894197457579,318,0,0.6291,0.6546,0.9047,2.1884,(C | Scattered),0,0
16,1460971089792,2481401737248022801,318,0,0.6291,0.6546,0.9047,2.1884,(C | LocationCrossover),0,0
17,1460971084192,-6621055526922044817,318,0,0.6293,0.6544,0.8946,2.1783,(C | KPoint(k=1)),0,0
18,1460971088896,-3747456969422126861,318,0,0.6293,0.6544,0.8946,2.1783,(C | KPoint(k=1)),0,0
19,1460971090352,3980252413063840141,318,0,0.6293,0.6544,0.8946,2.1783,(C | LocationCrossover),0,0
20,1460971081728,3745387630724847082,318,0,0.6293,0.6544,0.8946,2.1783,(C | Scattered),0,0
21,1460971078928,5254678530974575681,318,0,0.6293,0.6544,0.8946,2.1783,(C | LocationCrossover),0,0
22,1460971085088,2650439079129410672,318,0,0.6293,0.6544,0.8946,2.1783,(C | KPoint(k=2)),1,1
23,1460971083408,5666830486282793475,318,0,0.6293,0.6544,0.8946,2.1783,(C | Uniform),0,0
24,1460971091920,2954914823605526517,318,0,0.6293,0.6544,0.8946,2.1783,(C | Scattered),0,0
25,1460971078704,4248843241676029019,318,0,0.6293,0.6544,0.8946,2.1783,(C | KPoint(k=1)),0,0
26,1460971090240,-5063668419570775433,318,0,0.6293,0.6544,0.8946,2.1783,(C | TimeSlotCrossover),0,0
27,1460971090688,3710866241069899281,318,0,0.6293,0.6544,0.8946,2.1783,(C | KPoint(k=2)),0,0
28,1460971091360,3301838899205696216,318,0,0.6293,0.6544,0.8946,2.1783,(C | LocationCrossover),0,0
29,1460971084304,5594309340067108578,318,0,0.6293,0.6544,0.8946,2.1783,(C | Uniform),0,0
30,1460971083184,3335491312963559266,318,0,0.6293,0.6544,0.8946,2.1783,(C | LocationCrossover),0,0
31,1460971090016,2765785049650206594,318,0,0.6293,0.6544,0.8946,2.1783,(C | Scattered),0,0
32,1460971082960,-7493851231432126415,318,0,0.6293,0.6544,0.8946,2.1783,(C | Scattered),0,0
33,1460971091248,4870829765175536932,318,1,0.6289,0.6544,0.9047,2.1880,(C | Uniform),0,0
34,1460971088448,9053656223571831389,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
35,1460971082400,358262387155631014,318,1,0.6289,0.6544,0.9047,2.1880,(C | KPoint(k=2)),0,0
36,1460971085984,-6598666563356170912,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
37,1460971090912,-2536940271160344153,318,1,0.6289,0.6544,0.9047,2.1880,(C | TimeSlotCrossover),0,0
38,1460971079264,-4807155754998360442,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
39,1460971078256,8206638467674948255,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
40,1460971080496,492827286762811393,318,1,0.6289,0.6544,0.9047,2.1880,(C | LocationCrossover),0,0
41,1460971087664,-2942727606950072594,318,1,0.6289,0.6544,0.9047,2.1880,(C | TimeSlotCrossover),0,0
42,1460971085424,-2269346308655042469,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
43,1460971078368,7733075333747854381,318,1,0.6289,0.6544,0.9047,2.1880,(C | TimeSlotCrossover),0,0
44,1460971081616,-3299739110132224640,318,1,0.6289,0.6544,0.9047,2.1880,(C | Uniform),0,0
45,1460971092480,2912158425474636745,318,1,0.6289,0.6544,0.9047,2.1880,(C | LocationCrossover),0,0
46,1460971079936,6191542347161782409,318,1,0.6289,0.6544,0.9047,2.1880,(C | KPoint(k=2)),0,0
47,1460971085536,-6680560001247185435,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
48,1460971082288,5589708187025463780,318,1,0.6289,0.6544,0.9047,2.1880,(C | Scattered),0,0
49,1460971081840,-5570854202418817482,318,2,0.6280,0.6544,0.9047,2.1872,(C | TimeSlotCrossover),0,0
50,1460971079376,8381416701345118942,318,2,0.6280,0.6544,0.9047,2.1872,(C | KPoint(k=3)),0,0
51,1460971089456,2246205572027143010,318,2,0.6280,0.6544,0.9047,2.1872,(C | LocationCrossover),0,0
52,1460971090464,-9145471192877324549,318,2,0.6280,0.6544,0.9047,2.1872,(C | TimeSlotCrossover),0,0
53,1460971083632,5860637283298634590,318,2,0.6280,0.6544,0.9047,2.1872,(C | Scattered),0,0
54,1460971088112,-2801635019879848333,318,2,0.6280,0.6544,0.9047,2.1872,(C | KPoint(k=3)),0,0
55,1460971089232,7378289770033229085,318,2,0.6280,0.6544,0.9047,2.1872,(C | LocationCrossover),0,0
56,1460971078592,5437341838977638723,318,2,0.6280,0.6544,0.9047,2.1872,(C | Uniform),0,0
57,1460971083072,6215231655820973698,318,2,0.6280,0.6544,0.9047,2.1872,(C | Scattered),0,0
58,1460971085872,6563681533999145905,318,2,0.6280,0.6544,0.9047,2.1872,(C | Uniform),1,0
59,1460971081168,8906662971282111934,318,2,0.6280,0.6544,0.9047,2.1872,(C | Uniform),0,0
60,1460971084080,4727954515015429990,318,2,0.6280,0.6544,0.9047,2.1872,(C | RoundTypeCrossover),1,0
61,1460971084864,2861762109872623,318,2,0.6280,0.6544,0.9047,2.1872,(C | KPoint(k=2)),0,0
62,1460971086992,4691698923197472262,318,2,0.6280,0.6544,0.9047,2.1872,(C | KPoint(k=2)),1,1
63,1460971078144,2312480266081181463,318,2,0.6280,0.6544,0.9047,2.1872,(C | KPoint(k=2)),0,0
64,1460971088784,-5470211680742897138,318,2,0.6280,0.6544,0.9047,2.1872,(C | Scattered),0,0
65,1460971079824,-8773958970051413871,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=3)),0,0
66,1460971091808,-3752586831920952877,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=2)),0,0
67,1460971082736,-2484770845272557170,318,2,0.6284,0.6532,0.9047,2.1863,(C | LocationCrossover),0,0
68,1460971090800,-441767045166958014,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=1)),0,0
69,1460971083968,-5992129321728743424,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=3)),0,0
70,1460971086208,207881837876528907,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=2)),0,0
71,1460971084976,8910181115767435508,318,2,0.6284,0.6532,0.9047,2.1863,(C | TimeSlotCrossover),0,0
72,1460971089904,-321246996481048586,318,2,0.6284,0.6532,0.9047,2.1863,(C | Scattered),0,0
73,1460971080832,-4317624739330681369,318,2,0.6284,0.6532,0.9047,2.1863,(C | TimeSlotCrossover),0,0
74,1460971085760,1325649829480904189,318,2,0.6284,0.6532,0.9047,2.1863,(C | LocationCrossover),0,0
75,1460971090128,7784030672179567502,318,2,0.6284,0.6532,0.9047,2.1863,(C | Uniform),0,0
76,1460971081280,3428708639469002922,318,2,0.6284,0.6532,0.9047,2.1863,(C | TimeSlotCrossover),0,0
77,1460971087776,-7154593550217257104,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=3)),0,0
78,1460971086096,3305374146669654964,318,2,0.6284,0.6532,0.9047,2.1863,(C | KPoint(k=2)),0,0
79,1460971079712,2501747989796662344,318,2,0.6284,0.6532,0.9047,2.1863,(C | TimeSlotCrossover),0,0
80,1460971082176,-726849689546876521,318,2,0.6284,0.6532,0.9047,2.1863,(C | RoundTypeCrossover),0,0
81,1460971087104,7559239812469826823,318,3,0.6281,0.6532,0.9047,2.1861,(C | LocationCrossover),0,0
82,1460971084640,-7553000237424600021,318,3,0.6281,0.6532,0.9047,2.1861,(C | Scattered),0,0
83,1460971086768,-8527014464570370427,318,3,0.6281,0.6532,0.9047,2.1861,(C | KPoint(k=3)),0,0
