Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,29,32,27,28,22,33,35,40
09:11,38,41,42,23,30,43,26,31
09:22,37,34,46,25,48,21,19,24
09:33,33,1,27,47,39,35,29,49
09:44,30,4,28,51,44,32,46,7
09:55,34,50,9,40,3,2,36,31
10:06,51,10,45,6,12,53,8,49
10:17,43,5,11,17,,,44,47
10:28,14,36,52,16,48,38,41,50
10:39,45,15,18,42,,,39,37
10:50,17,8,20,10,13,6,,
11:01,22,19,52,24,53,21,14,16
11:12,1,25,23,11,4,9,5,26
11:23,3,20,15,13,18,12,7,2

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,29,10,11,25,18,12,39,2
14:07,14,34,9,32,36,6,44,7
14:15,45,19,23,51,50,20,46,4
14:22,33,49,24,28,13,38,8,26
14:30,34,1,43,47,3,42,14,31
14:37,51,4,27,10,45,17,41,16
14:45,38,21,52,37,40,32,8,48
14:52,22,23,15,6,12,28,19,7
15:00,3,25,46,29,39,53,35,24
15:07,1,5,9,11,30,21,26,20
15:15,52,41,27,42,44,33,31,48
15:22,32,36,47,,2,35,22,49
15:30,43,21,6,51,30,12,7,26
15:37,52,5,18,23,48,10,14,13
15:45,40,50,45,16,53,19,8,47
15:52,1,49,41,17,22,2,39,31
16:00,3,15,28,13,27,38,29,37
16:07,34,25,42,40,50,9,5,11
16:15,30,20,18,24,4,33,44,16
16:22,17,15,46,53,35,43,36,37

