Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1736810346336,-291192122405795942,318,0,0.7682,0.5789,0.8698,2.2170,(C | KPoint(k=2)),0,0
2,1736817837664,6220586345717439654,318,0,0.7682,0.5229,0.8796,2.1707,(C | LocationCrossover),0,0
3,1736817836656,4827841385068659676,318,0,0.5779,0.5796,0.8796,2.0371,(C | KPoint(k=1)),0,0
4,1736810348352,-8881729758660745629,318,0,0.5779,0.5796,0.8796,2.0371,(C | RoundTypeCrossover),1,0
5,1736817839456,3388421318614876166,318,0,0.5779,0.5796,0.8796,2.0371,(C | TimeSlotCrossover),0,0
6,1736810346896,7636052482295321938,318,0,0.5333,0.5804,0.8796,1.9933,(C | TimeSlotCrossover),0,0
7,1736810345552,1176058073305869276,318,0,0.5333,0.5804,0.8796,1.9933,(C | KPoint(k=1)),0,0
8,1736817837104,-602991322608952674,318,0,0.5333,0.5804,0.8796,1.9933,(C | TimeSlotCrossover),0,0
9,1736817836768,2291106496875819967,318,0,0.5333,0.5804,0.8796,1.9933,(C | KPoint(k=3)),0,0
10,1736817839792,-85975963389548183,318,0,0.5333,0.5804,0.8796,1.9933,(C | KPoint(k=3)),0,0
11,1736817839568,-5583087684827189578,318,0,0.5333,0.5804,0.8796,1.9933,(C | KPoint(k=1)),0,0
12,1736817838896,-8457650080691626177,318,0,0.5518,0.5797,0.7739,1.9054,(C | RoundTypeCrossover),0,0
13,1736810345104,-9128428206333033452,318,0,0.5518,0.5797,0.7739,1.9054,(C | RoundTypeCrossover),0,0
14,1736817837776,-198705258253377098,318,0,0.5518,0.5797,0.7739,1.9054,(C | TimeSlotCrossover),0,0
15,1736817836208,-3575763034515655067,318,1,0.7681,0.5693,0.8698,2.2071,(C | TimeSlotCrossover),0,0
16,1736817839680,4463520273110604957,318,1,0.7670,0.5148,0.8796,2.1614,(C | LocationCrossover),0,0
17,1736810347680,8991033883446526932,318,1,0.7682,0.5005,0.8796,2.1483,(C | KPoint(k=3)),1,0
18,1736810346784,8668650745782493673,318,1,0.5779,0.5796,0.8796,2.0371,(C | TimeSlotCrossover),0,0
19,1736817836880,-7761985362603599989,318,1,0.5779,0.5796,0.8796,2.0371,(C | KPoint(k=3)),0,0
20,1736810347344,-5992204884449218185,318,1,0.5779,0.5796,0.8796,2.0371,(C | KPoint(k=2)),0,0
21,1736817838448,-6808468385370492559,318,1,0.5326,0.5804,0.8796,1.9926,(C | Uniform),0,0
22,1736817838784,3126250960297253729,318,1,0.5301,0.5804,0.8796,1.9901,(C | RoundTypeCrossover),0,0
23,1736810347456,3481142024811545351,318,1,0.5301,0.5804,0.8796,1.9901,(C | KPoint(k=3)),1,0
24,1736810348240,4599761696346136595,318,1,0.5301,0.5804,0.8796,1.9901,(C | KPoint(k=3)),2,1
25,1736810346672,-2673282328777691947,318,1,0.5301,0.5804,0.8796,1.9901,(C | LocationCrossover),0,0
26,1736810346560,5975225857602634463,318,1,0.5301,0.5804,0.8796,1.9901,(C | TimeSlotCrossover),0,0
27,1736817837888,-7748124667466429680,318,1,0.5301,0.5804,0.8796,1.9901,(C | KPoint(k=2)),0,0
28,1736817836992,-8198339652434525271,318,1,0.5301,0.5804,0.8796,1.9901,(C | KPoint(k=2)),1,0
29,1736817838000,-7686621216009493262,318,1,0.5301,0.5804,0.8796,1.9901,(C | Scattered),0,0
30,1736817838672,-8712539324560255423,318,2,0.7679,0.5468,0.8631,2.1778,(C | TimeSlotCrossover),0,0
31,1736817837552,2618829999283048410,318,2,0.7679,0.5468,0.8631,2.1778,(C | RoundTypeCrossover),0,0
32,1736817837328,-7911260288695293962,318,2,0.7681,0.5069,0.8698,2.1448,(C | RoundTypeCrossover),1,1
33,1736817839344,-6380244713438278112,318,2,0.7681,0.5069,0.8698,2.1448,(C | Uniform),0,0
34,1736817838560,-1477011565338678218,318,2,0.7681,0.5069,0.8698,2.1448,(C | RoundTypeCrossover),0,0
35,1736817836544,-315559032231820600,318,2,0.7681,0.5069,0.8698,2.1448,(C | KPoint(k=1)),0,0
36,1736817838224,6954166532720343591,318,2,0.5778,0.5796,0.8796,2.0369,(C | KPoint(k=3)),0,0
37,1736810346000,-6311112108575255485,318,2,0.5778,0.5796,0.8796,2.0369,(C | RoundTypeCrossover),0,0
38,1736810345440,3055590847848239374,318,2,0.5301,0.5797,0.8698,1.9796,(C | KPoint(k=2)),0,0
39,1736817836096,47629213859639149,318,2,0.5042,0.5804,0.8796,1.9642,(C | Uniform),0,0
40,1736817838336,-2286939365047910553,318,2,0.5779,0.4809,0.8796,1.9384,(C | KPoint(k=1)),1,1
41,1736810348016,-1107150605004764262,318,3,0.5771,0.5698,0.8796,2.0265,(C | KPoint(k=2)),1,1
42,1736817839008,-6892284934722935832,318,3,0.5771,0.5698,0.8796,2.0265,(C | RoundTypeCrossover),0,0
43,1736817836432,-7847757252997857165,318,3,0.5771,0.5698,0.8796,2.0265,(C | TimeSlotCrossover),0,0
44,1736817837216,4461149470549821342,318,3,0.5771,0.5698,0.8796,2.0265,(C | RoundTypeCrossover),0,0
