Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,53,41,40,27,22,45,32,23
09:11,31,28,34,19,21,35,30,25
09:22,20,39,36,33,29,51,26,49
09:33,46,48,43,6,1,47,44,38
09:44,37,52,34,27,,,42,45
09:55,29,33,2,28,4,53,35,7
10:06,11,32,30,9,47,8,44,31
10:17,40,10,46,12,49,3,16,5
10:28,37,18,41,17,15,50,38,14
10:39,8,39,,,13,36,,
10:50,2,4,43,22,3,42,26,24
11:01,11,21,14,52,7,50,51,17
11:12,19,15,6,23,10,25,18,1
11:23,5,12,20,16,9,13,24,48

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,31,34,30,26,17,15,29,12
14:07,19,24,4,1,39,21,8,18
14:15,33,41,9,25,40,44,38,20
14:22,7,,32,27,2,5,11,43
14:30,46,4,10,13,39,42,14,3
14:37,20,15,36,17,40,30,18,50
14:45,7,28,16,33,37,38,19,23
14:52,6,48,35,1,22,53,9,32
15:00,29,10,44,34,49,8,26,5
15:07,12,28,16,42,21,13,46,3
15:15,52,48,2,31,9,47,51,27
15:22,37,41,43,45,17,5,24,53
15:30,50,22,14,12,7,35,19,1
15:37,11,30,51,49,39,25,44,46
15:45,23,53,34,6,18,47,36,45
15:52,40,52,10,6,41,4,8,22
16:00,50,32,26,42,49,38,43,28
16:07,29,15,48,31,21,3,33,37
16:15,35,47,11,45,20,13,51,2
16:22,36,52,14,16,27,25,24,23

