Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,53,41,40,27,22,48,30,23
09:11,31,28,34,20,21,33,35,25
09:22,19,39,36,32,29,51,26,47
09:33,46,49,43,9,8,45,44,38
09:44,37,52,34,27,32,33,42,48
09:55,,,4,28,7,53,29,6
10:06,12,30,35,1,45,5,44,31
10:17,40,11,46,16,47,3,14,2
10:28,37,18,41,10,13,50,38,15
10:39,5,39,,,17,36,,
10:50,4,7,43,22,3,42,26,24
11:01,12,21,15,52,6,50,51,10
11:12,20,13,9,23,11,25,18,8
11:23,2,16,19,14,1,17,24,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,31,34,35,26,10,13,29,16
14:07,20,24,7,8,39,21,5,18
14:15,32,41,1,25,40,44,38,19
14:22,6,,30,27,4,2,12,43
14:30,46,7,11,17,39,42,15,3
14:37,19,13,36,10,40,35,18,50
14:45,6,28,14,32,37,38,20,23
14:52,9,49,33,8,22,53,1,30
15:00,29,11,44,34,47,5,26,2
15:07,16,28,14,42,21,17,46,3
15:15,52,49,4,31,1,45,51,27
15:22,37,41,43,48,10,2,24,53
15:30,50,22,15,16,6,33,20,8
15:37,12,35,51,47,39,25,44,46
15:45,23,53,34,9,18,45,36,48
15:52,40,52,11,9,41,7,5,22
16:00,50,30,26,42,47,38,43,28
16:07,29,13,49,31,21,3,32,37
16:15,33,45,12,48,19,17,51,4
16:22,36,52,15,14,27,25,24,23

