Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,48,39,40,27,20,51,35,24
09:11,33,28,34,25,26,30,19,29
09:22,21,44,32,43,31,50,23,53
09:33,46,49,38,9,2,45,41,36
09:44,37,52,34,27,1,29,42,51
09:55,32,30,4,28,7,48,31,6
10:06,18,35,,,45,5,41,33
10:17,40,12,46,16,53,3,13,8
10:28,37,11,39,17,14,47,36,10
10:39,5,44,15,43,,,,
10:50,4,7,38,20,3,42,23,22
11:01,18,26,10,52,6,47,50,17
11:12,25,14,24,9,12,19,11,2
11:23,8,16,13,21,1,15,22,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,33,34,29,23,17,14,31,16
14:07,25,22,7,2,44,26,5,11
14:15,32,39,1,19,40,41,36,21
14:22,6,9,35,27,4,8,18,38
14:30,46,7,12,15,44,42,10,3
14:37,39,,14,43,40,29,11,47
14:45,6,28,13,32,37,36,25,24
14:52,9,49,30,2,20,48,1,35
15:00,31,12,41,34,53,5,23,8
15:07,16,28,13,42,26,15,3,46
15:15,52,49,4,33,1,45,50,27
15:22,37,39,38,51,17,8,22,48
15:30,47,20,10,16,6,30,25,2
15:37,18,29,50,53,44,19,41,46
15:45,24,48,34,17,11,45,43,51
15:52,40,52,12,9,21,7,5,20
16:00,47,35,23,42,53,36,38,28
16:07,31,14,49,33,26,3,32,37
16:15,30,45,18,51,21,15,50,4
16:22,43,52,10,13,27,19,22,24

