Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,48,37,41,29,25,47,27,22
09:11,33,28,34,23,21,30,26,35
09:22,24,44,32,43,31,50,19,45
09:33,46,49,39,9,2,53,38,36
09:44,40,52,34,29,1,35,42,47
09:55,32,30,4,28,7,48,31,6
10:06,17,27,,,53,5,38,33
10:17,41,10,46,16,45,3,15,8
10:28,40,18,37,11,14,51,36,12
10:39,5,44,13,43,,,,
10:50,4,7,39,25,3,42,19,20
11:01,17,21,12,52,6,51,50,11
11:12,23,14,22,9,10,26,18,2
11:23,8,16,15,24,1,13,20,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,33,34,35,19,11,14,31,16
14:07,23,20,7,2,44,21,5,18
14:15,32,37,1,26,41,38,36,24
14:22,6,9,27,29,4,8,17,39
14:30,46,7,10,13,44,42,12,3
14:37,37,,14,43,41,35,18,51
14:45,6,28,15,32,40,36,23,22
14:52,9,49,30,2,25,48,1,27
15:00,31,10,38,34,45,5,19,8
15:07,16,28,15,42,21,13,3,46
15:15,52,49,4,33,1,53,50,29
15:22,40,37,39,47,11,8,20,48
15:30,51,25,12,16,6,30,23,2
15:37,17,35,50,45,44,26,38,46
15:45,22,48,34,11,18,53,43,47
15:52,41,52,10,9,24,7,5,25
16:00,51,27,19,42,45,36,39,28
16:07,31,14,49,33,21,3,32,40
16:15,30,53,17,47,24,13,50,4
16:22,43,52,12,15,29,26,20,22

