Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,48,38,40,27,21,47,32,24
09:11,33,28,34,26,25,30,23,29
09:22,19,44,35,43,31,50,22,45
09:33,46,49,39,9,2,53,41,36
09:44,37,52,34,27,1,29,42,47
09:55,35,30,4,28,7,48,31,6
10:06,17,32,,,53,5,41,33
10:17,40,10,46,16,45,3,15,8
10:28,37,18,38,11,14,51,36,12
10:39,5,44,13,43,,,,
10:50,4,7,39,21,3,42,22,20
11:01,17,25,12,52,6,51,50,11
11:12,26,14,24,9,10,23,18,2
11:23,8,16,15,19,1,13,20,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,33,34,29,22,11,14,31,16
14:07,26,20,7,2,44,25,5,18
14:15,35,38,1,23,40,41,36,19
14:22,6,9,32,27,4,8,17,39
14:30,46,7,10,13,44,42,12,3
14:37,38,,14,43,40,29,18,51
14:45,6,28,15,35,37,36,26,24
14:52,9,49,30,2,21,48,1,32
15:00,31,10,41,34,45,5,22,8
15:07,16,28,15,42,25,13,3,46
15:15,52,49,4,33,1,53,50,27
15:22,37,38,39,47,11,8,20,48
15:30,51,21,12,16,6,30,26,2
15:37,17,29,50,45,44,23,41,46
15:45,24,48,34,11,18,53,43,47
15:52,40,52,10,9,19,7,5,21
16:00,51,32,22,42,45,36,39,28
16:07,31,14,49,33,25,3,35,37
16:15,30,53,17,47,19,13,50,4
16:22,43,52,12,15,27,23,20,24

