Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,48,36,40,27,21,51,35,25
09:11,34,28,33,24,26,30,19,29
09:22,22,44,32,43,31,50,23,53
09:33,46,49,39,9,2,47,41,38
09:44,37,52,33,27,1,29,42,51
09:55,32,30,4,28,7,48,31,6
10:06,18,35,,,47,5,41,34
10:17,40,12,46,16,53,3,15,8
10:28,37,11,36,17,14,45,38,10
10:39,5,44,13,43,,,,
10:50,4,7,39,21,3,42,23,20
11:01,18,26,10,52,6,45,50,17
11:12,24,14,25,9,12,19,11,2
11:23,8,16,15,22,1,13,20,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,34,33,29,23,17,14,31,16
14:07,24,20,7,2,44,26,5,11
14:15,32,36,1,19,40,41,38,22
14:22,6,9,35,27,4,8,18,39
14:30,46,7,12,13,44,42,10,3
14:37,36,,14,43,40,29,11,45
14:45,6,28,15,32,37,38,24,25
14:52,9,49,30,2,21,48,1,35
15:00,31,12,41,33,53,5,23,8
15:07,16,28,15,42,26,13,3,46
15:15,52,49,4,34,1,47,50,27
15:22,37,36,39,51,17,8,20,48
15:30,45,21,10,16,6,30,24,2
15:37,18,29,53,50,44,19,41,46
15:45,25,48,33,17,11,47,43,51
15:52,40,52,12,9,22,7,5,21
16:00,45,35,23,42,53,38,39,28
16:07,31,14,49,34,26,3,32,37
16:15,30,47,18,51,22,13,50,4
16:22,43,52,10,15,27,19,20,25

