Team,Judging,,Practice 1,,Practice 2,,Table 1,,Table 2,,Table 3,
1,08:15-09:00,Room A,09:44-09:55,Table C1,11:23-11:34,Table C1,14:15-14:22,Table B1,14:52-15:00,Table D1,15:15-15:22,Table C1
2,08:15-09:00,Room B,09:33-09:44,Table C1,11:12-11:23,Table D2,14:07-14:15,Table B2,14:52-15:00,Table B2,15:30-15:37,Table D2
3,08:15-09:00,Room C,10:17-10:28,Table C2,10:50-11:01,Table C1,14:30-14:37,Table D2,15:07-15:15,Table D1,16:07-16:15,Table C2
4,08:15-09:00,Room D,09:55-10:06,Table B1,10:50-11:01,Table A1,14:22-14:30,Table C1,15:15-15:22,Table B1,16:15-16:22,Table D2
5,08:15-09:00,Room E,10:06-10:17,Table C2,10:39-10:50,Table A1,14:07-14:15,Table D1,15:00-15:07,Table C2,15:52-16:00,Table D1
6,08:15-09:00,Room F,09:55-10:06,Table D2,11:01-11:12,Table C1,14:22-14:30,Table A1,14:45-14:52,Table A1,15:30-15:37,Table C1
7,08:15-09:00,Room G,09:55-10:06,Table C1,10:50-11:01,Table A2,14:07-14:15,Table B1,14:30-14:37,Table A2,15:52-16:00,Table C2
8,08:15-09:00,Room H,10:17-10:28,Table D2,11:23-11:34,Table A1,14:22-14:30,Table C2,15:00-15:07,Table D2,15:22-15:30,Table C2
9,08:15-09:00,Room I,09:33-09:44,Table B2,11:12-11:23,Table B2,14:22-14:30,Table A2,14:52-15:00,Table A1,15:52-16:00,Table B2
10,09:00-09:45,Room A,10:06-10:17,Table A1,11:01-11:12,Table A1,14:22-14:30,Table D1,15:37-15:45,Table A1,16:15-16:22,Table B1
11,09:00-09:45,Room B,10:28-10:39,Table C1,11:12-11:23,Table A2,14:00-14:07,Table C2,14:37-14:45,Table B1,16:07-16:15,Table A2
12,09:00-09:45,Room C,10:17-10:28,Table B2,11:23-11:34,Table A2,14:00-14:07,Table D2,15:07-15:15,Table A1,15:30-15:37,Table B2
13,09:00-09:45,Room D,10:39-10:50,Table B1,11:23-11:34,Table C2,14:30-14:37,Table B2,15:07-15:15,Table C2,16:15-16:22,Table C2
14,09:00-09:45,Room E,10:17-10:28,Table D1,11:23-11:34,Table B1,14:45-14:52,Table B1,15:07-15:15,Table B1,16:22-16:30,Table B2
15,09:00-09:45,Room F,10:28-10:39,Table B2,11:01-11:12,Table D2,14:00-14:07,Table C1,15:22-15:30,Table C1,15:45-15:52,Table B2
16,09:00-09:45,Room G,10:17-10:28,Table A2,11:12-11:23,Table C1,14:30-14:37,Table B1,15:00-15:07,Table A2,15:52-16:00,Table B1
17,09:00-09:45,Room H,10:28-10:39,Table A2,11:12-11:23,Table D1,14:07-14:15,Table D2,14:37-14:45,Table D1,15:45-15:52,Table C1
18,09:00-09:45,Room I,10:28-10:39,Table D2,11:01-11:12,Table B1,14:30-14:37,Table D1,15:30-15:37,Table B1,16:22-16:30,Table B1
19,09:45-10:30,Room A,09:11-09:22,Table B2,11:12-11:23,Table A1,14:07-14:15,Table A1,14:45-14:52,Table D1,15:30-15:37,Table D1
20,09:45-10:30,Room B,09:00-09:11,Table C1,10:50-11:01,Table B2,14:52-15:00,Table C1,15:30-15:37,Table A2,15:52-16:00,Table D2
21,09:45-10:30,Room C,09:11-09:22,Table C1,11:01-11:12,Table A2,14:07-14:15,Table C2,15:07-15:15,Table C1,16:07-16:15,Table C1
22,09:45-10:30,Room D,09:22-09:33,Table D1,10:50-11:01,Table D1,14:00-14:07,Table B2,15:00-15:07,Table D1,16:00-16:07,Table B1
23,09:45-10:30,Room E,09:22-09:33,Table A1,11:23-11:34,Table B2,14:15-14:22,Table D2,15:52-16:00,Table C1,16:15-16:22,Table C1
24,09:45-10:30,Room F,10:50-11:01,Table D2,11:23-11:34,Table D1,14:07-14:15,Table A2,15:22-15:30,Table D1,16:22-16:30,Table D1
25,09:45-10:30,Room G,09:11-09:22,Table D1,11:12-11:23,Table C2,14:15-14:22,Table B2,15:37-15:45,Table C2,16:22-16:30,Table C2
26,09:45-10:30,Room H,09:00-09:11,Table D2,11:12-11:23,Table B1,14:45-14:52,Table D2,15:45-15:52,Table A1,16:22-16:30,Table D2
27,10:30-11:15,Room A,09:11-09:22,Table D2,09:44-09:55,Table C2,14:00-14:07,Table B1,14:37-14:45,Table C2,15:37-15:45,Table A2
28,10:30-11:15,Room B,09:11-09:22,Table A2,09:55-10:06,Table B2,14:45-14:52,Table A2,15:07-15:15,Table A2,16:00-16:07,Table D2
29,10:30-11:15,Room C,09:00-09:11,Table B2,09:44-09:55,Table B2,14:22-14:30,Table B2,15:15-15:22,Table D2,16:22-16:30,Table C1
30,10:30-11:15,Room D,09:11-09:22,Table C2,09:55-10:06,Table A2,14:52-15:00,Table B1,15:30-15:37,Table C2,16:15-16:22,Table A1
31,10:30-11:15,Room E,09:22-09:33,Table C1,09:55-10:06,Table D1,14:00-14:07,Table D1,15:00-15:07,Table A1,16:07-16:15,Table A1
32,10:30-11:15,Room F,09:11-09:22,Table A1,10:06-10:17,Table D2,14:00-14:07,Table A1,15:15-15:22,Table B2,16:07-16:15,Table B2
33,10:30-11:15,Room G,09:11-09:22,Table B1,09:44-09:55,Table B1,14:00-14:07,Table A2,15:00-15:07,Table B2,15:45-15:52,Table B1
34,10:30-11:15,Room H,09:00-09:11,Table D1,10:06-10:17,Table A2,14:22-14:30,Table B1,14:52-15:00,Table D2,16:00-16:07,Table A2
35,10:30-11:15,Room I,09:22-09:33,Table B1,09:55-10:06,Table A1,14:15-14:22,Table A1,14:45-14:52,Table B2,16:07-16:15,Table D1
36,11:15-12:00,Room A,09:00-09:11,Table A2,10:28-10:39,Table B1,14:15-14:22,Table A2,14:37-14:45,Table A1,15:22-15:30,Table A2
37,11:15-12:00,Room B,09:22-09:33,Table B2,10:39-10:50,Table B2,14:37-14:45,Table B2,15:45-15:52,Table D1,16:22-16:30,Table A1
38,11:15-12:00,Room C,09:33-09:44,Table D2,10:28-10:39,Table D1,14:15-14:22,Table D1,14:45-14:52,Table C2,16:00-16:07,Table C2
39,11:15-12:00,Room D,09:33-09:44,Table D1,10:06-10:17,Table D1,14:15-14:22,Table C2,15:00-15:07,Table B1,15:37-15:45,Table D1
40,11:15-12:00,Room E,09:00-09:11,Table B1,10:17-10:28,Table A1,14:15-14:22,Table C1,14:37-14:45,Table C1,15:52-16:00,Table A1
