Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,,19,20,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,47,36,39,35,19,51,27,21
09:11,34,33,28,23,24,30,25,29
09:22,26,43,32,37,31,50,20,53
09:33,45,49,42,6,8,52,40,41
09:44,38,48,28,35,7,29,44,51
09:55,32,30,4,33,3,47,31,2
10:06,12,27,45,16,52,5,40,34
10:17,39,10,,,53,9,15,1
10:28,38,17,36,14,18,46,41,11
10:39,5,43,13,37,,,,
10:50,4,3,42,19,9,44,20,22
11:01,12,24,11,48,2,46,50,14
11:12,23,18,21,6,10,25,17,8
11:23,1,16,15,26,7,13,22,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,34,28,18,14,20,29,31,16
14:07,23,22,3,8,43,24,5,17
14:15,32,36,25,7,39,40,41,19
14:22,2,6,27,35,4,1,12,42
14:30,45,3,10,13,43,44,11,9
14:37,26,33,18,37,39,29,17,46
14:45,36,2,15,32,38,41,23,21
14:52,6,49,30,8,19,47,7,27
15:00,31,10,40,28,53,5,20,1
15:07,16,33,15,44,24,13,9,45
15:15,48,49,4,34,7,52,50,35
15:22,38,36,42,51,14,1,22,47
15:30,46,,11,16,2,30,23,8
15:37,12,29,50,53,43,25,40,45
15:45,21,47,28,14,17,52,37,51
15:52,39,48,10,6,26,3,5,19
16:00,46,27,20,44,53,41,42,33
16:07,31,18,49,34,24,9,32,38
16:15,30,52,12,51,26,13,50,4
16:22,37,48,11,15,35,25,22,21

