Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,,20,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,53,36,40,35,22,51,27,21
09:11,34,32,28,25,23,30,24,29
09:22,26,43,33,37,31,46,20,47
09:33,52,49,42,6,3,45,39,41
09:44,38,50,28,35,7,29,44,51
09:55,33,30,4,32,8,53,31,2
10:06,12,27,52,16,45,5,39,34
10:17,40,10,,,47,9,15,1
10:28,38,17,36,14,18,48,41,11
10:39,5,43,13,37,,,,
10:50,4,8,42,22,9,44,20,19
11:01,12,23,11,50,2,48,46,14
11:12,25,18,21,6,10,24,17,3
11:23,1,16,15,26,7,13,19,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,34,28,18,14,20,29,31,16
14:07,25,19,8,3,43,23,5,17
14:15,33,36,7,24,40,39,41,22
14:22,2,6,27,35,4,1,12,42
14:30,52,8,10,13,43,44,11,9
14:37,26,32,18,37,40,29,17,48
14:45,36,2,15,33,38,41,25,21
14:52,6,49,30,3,22,53,7,27
15:00,31,10,39,28,47,5,20,1
15:07,16,32,15,44,23,13,9,52
15:15,50,49,4,34,7,45,46,35
15:22,38,36,42,51,14,1,19,53
15:30,48,,11,16,2,30,25,3
15:37,12,29,46,47,43,24,39,52
15:45,21,53,28,14,17,45,37,51
15:52,40,50,10,6,26,8,5,22
16:00,48,27,20,44,47,41,42,32
16:07,31,18,49,34,23,9,33,38
16:15,30,45,12,51,26,13,46,4
16:22,37,50,11,15,35,24,19,21

