Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1347624433056,8698682260544238941,318,0,0.2667,0.0000,0.0000,0.2667,(C | KPoint(k=2)),1,1
2,1347624431936,-1005722336061845865,318,0,0.2667,0.0000,0.0000,0.2667,(C | TimeSlotCrossover),0,0
3,1347624430704,-3929015286501314500,318,0,0.2667,0.0000,0.0000,0.2667,(C | TimeSlotCrossover),4,4
4,1347647080480,-5705885583156836146,318,0,0.2667,0.0000,0.0000,0.2667,(C | Scattered),0,0
5,1347647084512,8061579524275335826,318,0,0.2667,0.0000,0.0000,0.2667,(C | Scattered),0,0
6,1347647088768,5613773990989932003,318,0,0.2667,0.0000,0.0000,0.2667,(C | LocationCrossover),0,0
7,1347624432832,-7796473255255095579,318,0,0.2667,0.0000,0.0000,0.2667,(C | KPoint(k=2)),0,0
8,1347624431040,-2920818222801500761,318,0,0.2667,0.0000,0.0000,0.2667,(C | TimeSlotCrossover),0,0
9,1347624434176,5655927266449135537,318,0,0.2667,0.0000,0.0000,0.2667,(C | Uniform),0,0
10,1347647088992,3603411930325341884,318,0,0.2667,0.0000,0.0000,0.2667,(C | TimeSlotCrossover),1,1
11,1347647082608,-4629693621474982639,318,0,0.2667,0.0000,0.0000,0.2667,(C | TimeSlotCrossover),2,2
12,1347624430256,6893587977081257733,318,0,0.2667,0.0000,0.0000,0.2667,(C | TimeSlotCrossover),3,3
13,1347624432160,-6816015292214182675,318,1,0.2605,0.0000,0.0000,0.2605,(C | RoundTypeCrossover),0,0
14,1347624430928,-5687079386583958874,318,1,0.2605,0.0000,0.0000,0.2605,(C | KPoint(k=1)),4,3
15,1347624435296,5427551016428381567,318,1,0.2605,0.0000,0.0000,0.2605,(C | KPoint(k=3)),0,0
16,1347647086752,-1415189874531821967,318,1,0.2605,0.0000,0.0000,0.2605,(C | RoundTypeCrossover),0,0
17,1347647087984,1512434648847213142,318,1,0.2605,0.0000,0.0000,0.2605,(C | TimeSlotCrossover),0,0
18,1347647079248,7036675723573024726,318,1,0.2605,0.0000,0.0000,0.2605,(C | Uniform),3,2
19,1347647088096,3315295041987764416,318,1,0.2605,0.0000,0.0000,0.2605,(C | TimeSlotCrossover),0,0
20,1347647079808,6388074653252833410,318,1,0.2605,0.0000,0.0000,0.2605,(C | TimeSlotCrossover),1,0
21,1347624433504,8381773595265137978,318,1,0.2605,0.0000,0.0000,0.2605,(C | KPoint(k=2)),1,0
22,1347624434400,-7465245162158205834,318,1,0.2605,0.0000,0.0000,0.2605,(C | Uniform),2,1
