Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1976695744640,3015062732940814080,318,0,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
2,1976689375856,7426266498920812761,318,0,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
3,1976695737808,-1992415270345147138,318,0,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
4,1976695746208,5871350534691465227,318,0,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
5,1976689377088,1339247254444401236,318,0,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),0,0
6,1976689376976,8149011322101185952,318,0,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),2,1
7,1976689376752,6507217937417929837,318,0,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),0,0
8,1976695746320,5105731822304261419,318,0,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),1,1
9,1976689373840,7760329357031469523,318,0,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),0,0
10,1976689373504,-2125793315826367612,318,0,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),0,0
11,1976695743856,-6861318955647194288,318,0,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
12,1976689373168,-7679850923435675724,318,0,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
13,1976695746544,-1420188262165010778,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
14,1976695743072,5484873197577426733,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),0,0
15,1976689374512,7267676773569168473,318,1,0.2682,0.0000,0.0000,0.2682,(C | Scattered),0,0
16,1976695740160,-3330406735740318422,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
17,1976689374176,-70817536088693573,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
18,1976695743744,7355425094656269807,318,1,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),0,0
19,1976695736800,4209449700788387601,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),1,1
20,1976695743408,-4544583516326430773,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),1,0
21,1976689373952,1080612716462353617,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
22,1976695741504,3940632929351827311,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),1,0
23,1976695737584,228615982602148840,318,1,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),0,0
24,1976695746432,-6496674029235038396,318,1,0.2682,0.0000,0.0000,0.2682,(C | LocationCrossover),0,0
25,1976689373616,6109677197827922235,318,2,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),0,0
26,1976695742288,-2267862509747149371,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),1,0
27,1976695744864,6120745119440128628,318,2,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),0,0
28,1976695739712,6893356508737311575,318,2,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),1,0
29,1976695745872,6206185588812317927,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
30,1976695737920,-6416341797663230822,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
31,1976695740496,-3616174263283562751,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
32,1976695736688,-3076237628195508364,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),0,0
33,1976695737248,2397813851978900630,318,2,0.2682,0.0000,0.0000,0.2682,(C | Uniform),0,0
34,1976695743632,-6233772008649585079,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),0,0
35,1976695744752,7670119007359096630,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),0,0
36,1976689376864,-5448774287999776638,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),1,0
37,1976695739264,1373825042390024081,318,2,0.2682,0.0000,0.0000,0.2682,(C | Scattered),0,0
38,1976695738368,6316137255865432373,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
39,1976695735344,-1752543872933511299,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
40,1976695741168,6007570025257477269,318,2,0.2682,0.0000,0.0000,0.2682,(C | LocationCrossover),0,0
41,1976695741616,-3842982526749185463,318,2,0.2682,0.0000,0.0000,0.2682,(C | LocationCrossover),0,0
42,1976689374960,5428328794266414613,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),1,0
43,1976695738032,-6750434441120407403,318,2,0.2682,0.0000,0.0000,0.2682,(C | Uniform),1,1
44,1976695735568,-2652389762466226565,318,2,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),0,0
45,1976689375632,-3967322786812688381,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),0,0
46,1976689375296,8865217704172821494,318,2,0.2682,0.0000,0.0000,0.2682,(C | Uniform),0,0
47,1976689373728,6904247271686729298,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),0,0
48,1976695736240,-2549765812341976248,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=1)),1,0
49,1976689376416,1978622854202983742,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
50,1976695734672,7422975613295205822,318,2,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),3,3
51,1976695745088,2130094311303854713,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
52,1976689374400,7221849992672581703,318,2,0.2682,0.0000,0.0000,0.2682,(C | RoundTypeCrossover),0,0
53,1976695741952,-7667117071378323833,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),1,0
54,1976695740384,-6396494277130104287,318,2,0.2682,0.0000,0.0000,0.2682,(C | TimeSlotCrossover),0,0
55,1976695740272,-2861660765375110232,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=2)),1,1
56,1976695742960,-3833895786825313954,318,2,0.2682,0.0000,0.0000,0.2682,(C | Scattered),0,0
57,1976695738144,-8732784644758796469,318,2,0.2682,0.0000,0.0000,0.2682,(C | KPoint(k=3)),0,0
58,1976689374848,-1362489976930222130,318,2,0.2682,0.0000,0.0000,0.2682,(C | LocationCrossover),0,0
59,1976695736128,7346892313634446877,318,2,0.2682,0.0000,0.0000,0.2682,(C | Scattered),1,1
60,1976689376080,-7260988867740560421,318,2,0.2682,0.0000,0.0000,0.2682,(C | Scattered),0,0
