Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2697481110464,-6356337520821001664,318,0,0.2444,0.0000,0.0795,0.3239,(C | RoundTypeCrossover),0,0
2,2697481109680,3563966580705817484,318,0,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=2)),0,0
3,2697481117072,4698206883413939439,318,0,0.2444,0.0000,0.0795,0.3239,(C | LocationCrossover),0,0
4,2697474603632,7450165953785506981,318,0,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=2)),2,2
5,2697481115280,3635672032319520745,318,0,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=3)),1,0
6,2697481121664,-244084427258074366,318,0,0.2444,0.0000,0.0795,0.3239,(C | TimeSlotCrossover),0,0
7,2697474603184,-4607705559124961210,318,0,0.2444,0.0000,0.0795,0.3239,(C | TimeSlotCrossover),0,0
8,2697474601392,-843824396186557906,318,0,0.2444,0.0000,0.0795,0.3239,(C | TimeSlotCrossover),0,0
9,2697481116176,-6449596780130287118,318,0,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=1)),1,0
10,2697481119312,-2847319457609614976,318,0,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=2)),1,1
11,2697481115504,-3180272884636024241,318,0,0.2444,0.0000,0.0795,0.3239,(C | LocationCrossover),0,0
12,2697481118752,2452708290699004266,318,0,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=1)),0,0
13,2697481118192,-3001210709143351051,318,1,0.2443,0.0000,0.0795,0.3238,(C | LocationCrossover),0,0
14,2697481116848,-6103310759485030502,318,1,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=3)),0,0
15,2697481113936,-77010654688103760,318,1,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=1)),0,0
16,2697474601952,-3643727835738847838,318,1,0.2443,0.0000,0.0795,0.3238,(C | Uniform),1,0
17,2697481114832,-6827609701451242102,318,1,0.2443,0.0000,0.0795,0.3238,(C | TimeSlotCrossover),0,0
18,2697481111248,-2438593324541273682,318,1,0.2443,0.0000,0.0795,0.3238,(C | Scattered),0,0
19,2697474603968,-2291861843921081488,318,1,0.2443,0.0000,0.0795,0.3238,(C | Scattered),0,0
20,2697474602400,-9031632780008594545,318,1,0.2443,0.0000,0.0795,0.3238,(C | Scattered),0,0
21,2697481116960,3851308752107398788,318,1,0.2443,0.0000,0.0795,0.3238,(C | Uniform),1,1
22,2697481110912,-2029355065292769055,318,1,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=1)),1,0
23,2697474602512,7293243633526685296,318,1,0.2443,0.0000,0.0795,0.3238,(C | TimeSlotCrossover),0,0
24,2697481119984,-7312596564350427536,318,1,0.2443,0.0000,0.0795,0.3238,(C | Uniform),0,0
25,2697481110576,5820606722095837285,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=2)),0,0
26,2697481119648,-8298190723169341765,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=2)),0,0
27,2697474601616,-1519980271390054643,318,2,0.2443,0.0000,0.0795,0.3238,(C | Uniform),0,0
28,2697474602960,-3513485166238571641,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=3)),0,0
29,2697481119760,-1937037263010744478,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=2)),1,1
30,2697474602624,8197220334904854655,318,2,0.2443,0.0000,0.0795,0.3238,(C | TimeSlotCrossover),0,0
31,2697474604640,-6395414545414889539,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=2)),0,0
32,2697481113824,5551747546720926005,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=3)),1,0
33,2697481120432,5397872437560297391,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=1)),0,0
34,2697481121104,8897050891395070220,318,2,0.2443,0.0000,0.0795,0.3238,(C | RoundTypeCrossover),0,0
35,2697481113600,1100290082870811612,318,2,0.2443,0.0000,0.0795,0.3238,(C | KPoint(k=2)),0,0
36,2697474602848,-7797742697536982351,318,2,0.2443,0.0000,0.0795,0.3238,(C | Scattered),0,0
37,2697481120096,-7963786170295515128,318,3,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
38,2697481120768,-8519623095872064515,318,3,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
39,2697481121440,7404114517862164102,318,3,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),1,1
40,2697481117856,-3937043529817987566,318,3,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
41,2697474603296,-4182712355634089549,318,3,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
42,2697481114384,-4946418440074731064,318,3,0.2443,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
43,2697481111472,-1474369888924952270,318,3,0.2443,0.0000,0.0795,0.3237,(C | Uniform),0,0
44,2697481119872,-2417812663963674877,318,3,0.2443,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
45,2697474603856,-5650665111833936698,318,3,0.2443,0.0000,0.0795,0.3237,(C | Uniform),0,0
46,2697481114048,2635723497424731252,318,3,0.2443,0.0000,0.0795,0.3237,(C | Scattered),2,2
47,2697481118528,1975725933098969920,318,3,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
48,2697474601168,3328916531937214065,318,3,0.2443,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
49,2697481120880,-2573710228314022131,318,4,0.2443,0.0000,0.0795,0.3237,(C | Uniform),1,1
50,2697481120992,-5807774780546395803,318,4,0.2443,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),0,0
51,2697481114496,-1945207723154517027,318,4,0.2443,0.0000,0.0795,0.3237,(C | Uniform),1,0
52,2697474604528,8964791973370286663,318,4,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
53,2697474604080,725496039105364055,318,4,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=3)),0,0
54,2697481113152,-1678340004697538217,318,4,0.2443,0.0000,0.0795,0.3237,(C | LocationCrossover),2,1
55,2697481111696,8049456261355814402,318,4,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=2)),1,1
56,2697481112704,-7620673193981855540,318,4,0.2443,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),0,0
57,2697481116400,-5108996922180770935,318,4,0.2443,0.0000,0.0795,0.3237,(C | Uniform),0,0
58,2697474601504,-3008294011995542080,318,4,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=2)),0,0
59,2697481118864,-8957195376106509036,318,4,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=2)),0,0
60,2697481114608,8112404157663969521,318,4,0.2443,0.0000,0.0795,0.3237,(C | Scattered),0,0
61,2697481110240,3768998055318191392,318,5,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),1,1
62,2697481111920,6291890597249917973,318,5,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
63,2697481109568,-8721406891522978375,318,5,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=2)),0,0
64,2697474604864,-5667822217008430083,318,5,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=1)),1,0
65,2697474601840,8977762015325685099,318,5,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
66,2697481117296,-3417013918578200841,318,5,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=3)),0,0
67,2697481112592,-2181996650648818686,318,5,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=2)),0,0
68,2697481113040,-5999154740907331271,318,5,0.2443,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),0,0
69,2697481115728,1974893217818583332,318,5,0.2443,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),0,0
70,2697474602736,-3930659254742839908,318,5,0.2443,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
71,2697481119424,-3765616507071255386,318,5,0.2443,0.0000,0.0795,0.3237,(C | KPoint(k=2)),1,1
72,2697474604192,555206416772445824,318,5,0.2443,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
73,2697481117744,-658073776099864116,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),2,1
74,2697481115392,3355120598059364395,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
75,2697481114944,-4803994027332335948,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
76,2697481112368,-2849689768615398477,318,6,0.2442,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),0,0
77,2697481118640,1662683258568605939,318,6,0.2442,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),1,0
78,2697481112928,8628304230363841932,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=3)),0,0
79,2697481120208,-16456130771177527,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
80,2697481120544,1711829980454929317,318,6,0.2442,0.0000,0.0795,0.3237,(C | Uniform),0,0
81,2697481112480,-462859967922593038,318,6,0.2442,0.0000,0.0795,0.3237,(C | Scattered),0,0
82,2697481113376,-715905477618775299,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),1,0
83,2697481117408,4295004158067539197,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
84,2697481119200,-7656967141430459906,318,6,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=2)),0,0
85,2697474604752,-2313707994848840741,318,7,0.2442,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
86,2697481117968,-2334607340741991412,318,7,0.2442,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
87,2697481115616,-4792163494425263127,318,7,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
88,2697474603072,-1750144260516745137,318,7,0.2442,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
89,2697474600832,-6030875385726622238,318,7,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=3)),1,0
90,2697481110800,257139881547349945,318,7,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=1)),0,0
91,2697474600608,693781800453114674,318,7,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=2)),0,0
92,2697474600496,-8326046818708465502,318,7,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=3)),1,0
93,2697474601728,-7455079358103893707,318,7,0.2442,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
94,2697481111584,-4268237459195728590,318,7,0.2442,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
95,2697481112256,-7129916530379050407,318,7,0.2442,0.0000,0.0795,0.3237,(C | Scattered),0,0
96,2697481110128,9155382898393918506,318,7,0.2442,0.0000,0.0795,0.3237,(C | Scattered),0,0
97,2697474602288,-8035452032486509109,318,8,0.2442,0.0000,0.0795,0.3237,(C | Uniform),1,0
98,2697481110688,7270308756695968794,318,8,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=3)),0,0
99,2697481109904,3562393795020891510,318,8,0.2442,0.0000,0.0795,0.3237,(C | Uniform),0,0
100,2697481117632,-943478992481208544,318,8,0.2442,0.0000,0.0795,0.3237,(C | Uniform),0,0
101,2697481111360,4975841626502355376,318,8,0.2442,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),1,0
102,2697481118976,3007034304146411322,318,8,0.2442,0.0000,0.0795,0.3237,(C | TimeSlotCrossover),0,0
103,2697481112032,-5895095764862008393,318,8,0.2442,0.0000,0.0795,0.3237,(C | RoundTypeCrossover),0,0
104,2697481112144,-3558601100541574517,318,8,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=3)),0,0
105,2697481118304,-6469400076445787319,318,8,0.2442,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
106,2697481111024,3258809097780135256,318,8,0.2442,0.0000,0.0795,0.3237,(C | KPoint(k=2)),1,0
107,2697481113712,-4007508293101461237,318,8,0.2442,0.0000,0.0795,0.3237,(C | LocationCrossover),0,0
