Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,,19,20,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,27,21,35,22,32,24,25,34
09:11,40,36,33,43,42,38,41,28
09:22,49,26,44,19,47,39,31,37
09:33,23,52,45,46,51,50,20,48
09:44,32,31,30,35,27,28,53,34
09:55,3,2,33,8,9,4,7,29
10:06,5,6,30,1,41,36,,
10:17,38,40,42,15,43,44,37,29
10:28,16,39,12,13,11,18,17,10
10:39,47,14,,,23,49,,
10:50,48,46,52,51,19,53,45,50
11:01,20,4,26,8,24,2,21,7
11:12,3,16,17,6,9,5,22,11
11:23,10,25,13,18,14,1,15,12

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,45,25,47,35,46,50,39,53
14:07,13,5,49,38,1,34,51,48
14:15,10,4,42,44,43,9,37,3
14:22,27,20,18,14,52,16,8,12
14:30,11,40,22,41,19,15,24,7
14:37,31,36,6,33,2,32,23,17
14:45,26,25,28,35,21,29,19,30
14:52,34,13,1,39,9,31,23,
15:00,20,37,27,53,50,4,38,18
15:07,44,5,41,45,3,8,47,48
15:15,49,16,43,7,22,46,15,40
15:22,32,12,24,33,28,51,10,6
15:30,29,11,26,52,30,36,42,14
15:37,31,23,20,21,25,19,17,2
15:45,30,29,27,35,41,13,18,39
15:52,1,9,44,34,37,40,7,38
16:00,5,33,50,28,8,32,4,24
16:07,3,15,22,14,53,26,16,11
16:15,6,36,48,43,47,45,12,21
16:22,2,52,42,49,10,51,17,46

