Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,33,26,19,27,20,32,31,25
09:11,39,42,34,41,38,43,36,29
09:22,40,35,24,44,37,47,49,21
09:33,48,23,52,53,51,50,46,22
09:44,35,27,32,30,29,33,45,31
09:55,1,4,34,9,6,8,2,28
10:06,30,3,42,36,,,7,5
10:17,43,39,38,12,41,44,40,28
10:28,16,15,13,14,10,17,37,11
10:39,18,47,,,22,49,,
10:50,48,52,46,51,24,45,53,50
11:01,8,23,21,9,4,19,26,2
11:12,13,20,5,6,7,16,1,11
11:23,25,15,10,14,3,18,12,17

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,45,37,50,52,25,53,47,32
14:07,48,51,31,3,43,49,5,10
14:15,15,8,38,44,41,6,1,40
14:22,33,23,18,14,9,11,46,17
14:30,13,39,20,36,12,24,2,19
14:37,35,42,7,34,27,4,16,22
14:45,25,21,29,32,26,28,30,24
14:52,31,10,3,37,22,,6,35
15:00,43,14,8,50,33,45,23,40
15:07,48,47,9,1,53,36,5,44
15:15,12,39,52,20,2,41,11,49
15:22,7,15,19,34,29,51,17,27
15:30,28,13,21,46,30,42,38,18
15:37,35,22,25,24,26,23,16,4
15:45,14,37,32,33,36,10,30,28
15:52,43,2,40,39,31,44,6,3
16:00,19,8,27,9,50,29,34,5
16:07,12,1,18,20,45,21,13,11
16:15,7,42,48,41,47,53,17,26
16:22,4,46,38,49,15,51,16,52

