Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,21,35,24,33,32,22,20,28
09:11,31,38,43,42,41,29,36,44
09:22,37,30,25,40,51,39,19,49
09:33,23,50,45,46,47,48,52,26
09:44,32,30,27,33,31,28,53,35
09:55,8,34,3,2,1,29,5,7
10:06,6,4,38,36,,,27,9
10:17,37,34,42,15,41,40,44,43
10:28,13,16,17,14,10,12,11,39
10:39,,,,,26,49,18,51
10:50,50,46,47,52,25,53,48,45
11:01,23,2,19,1,7,22,20,8
11:12,17,24,6,3,4,13,5,11
11:23,21,16,18,9,10,14,12,15

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,53,39,48,46,21,45,33,51
14:07,6,10,49,43,9,35,47,50
14:15,16,2,42,40,41,3,37,5
14:22,28,23,18,14,52,11,1,12
14:30,17,44,24,38,25,15,22,8
14:37,26,13,7,32,29,4,36,30
14:45,19,21,31,33,20,34,25,27
14:52,35,10,9,39,26,,3,30
15:00,37,23,53,28,48,2,14,43
15:07,50,51,1,5,45,38,6,40
15:15,49,11,41,8,24,46,44,15
15:22,4,16,22,29,12,32,47,31
15:30,18,42,36,27,52,19,34,17
15:37,30,26,23,20,21,25,7,13
15:45,39,14,33,28,38,10,34,27
15:52,43,8,37,44,35,40,3,9
16:00,6,29,31,48,1,32,22,2
16:07,5,15,24,18,19,53,11,17
16:15,4,36,50,41,45,51,12,20
16:22,7,52,42,49,16,47,13,46

