Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,,20,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,35,22,34,24,20,32,30,21
09:11,44,37,29,40,38,36,39,28
09:22,19,49,25,42,41,47,43,33
09:33,23,48,53,52,51,50,46,26
09:44,32,33,31,34,28,30,45,35
09:55,2,27,6,3,8,29,1,5
10:06,31,9,37,39,,,4,7
10:17,44,36,42,40,17,38,27,43
10:28,41,11,10,12,15,13,16,14
10:39,,,,,26,49,18,47
10:50,48,52,51,46,25,45,50,53
11:01,23,6,19,8,20,1,21,2
11:12,16,24,3,7,4,13,5,11
11:23,22,15,18,9,10,14,12,17

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,34,47,53,22,50,52,41,45
14:07,10,7,49,36,9,35,51,48
14:15,15,6,38,42,40,3,43,5
14:22,12,8,11,46,18,14,23,30
14:30,44,16,24,39,17,25,20,2
14:37,26,13,1,32,29,4,37,33
14:45,19,22,34,28,27,21,25,31
14:52,35,10,9,41,26,,3,33
15:00,43,23,45,30,50,6,14,36
15:07,42,7,8,5,53,39,47,48
15:15,17,44,52,24,2,40,11,49
15:22,4,15,20,29,28,51,32,12
15:30,16,27,19,46,31,37,38,18
15:37,26,33,21,23,22,25,13,1
15:45,41,14,34,30,39,10,27,31
15:52,36,2,43,44,35,42,3,9
16:00,20,6,32,8,50,28,29,7
16:07,17,5,24,18,45,19,16,11
16:15,21,12,47,53,40,48,37,4
16:22,1,46,38,49,15,51,13,52

