Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,24,31,21,30,20,34,25,27
09:11,33,41,38,42,40,28,36,44
09:22,23,49,19,43,39,47,29,37
09:33,26,52,53,46,51,50,22,48
09:44,29,34,35,30,27,33,45,31
09:55,32,6,4,9,7,28,2,5
10:06,1,35,,,36,41,8,3
10:17,32,37,43,40,42,14,38,44
10:28,39,10,12,11,13,18,15,17
10:39,47,16,49,26,,,,
10:50,48,46,51,52,45,19,53,50
11:01,22,4,23,7,20,2,25,6
11:12,21,13,8,17,3,9,10,5
11:23,15,24,16,1,18,11,14,12

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,30,47,53,24,46,50,39,45
14:07,3,11,49,38,1,31,51,48
14:15,15,4,42,43,40,9,37,5
14:22,27,22,16,18,52,10,7,12
14:30,44,13,21,41,14,19,20,6
14:37,26,17,2,34,28,8,36,29
14:45,19,35,32,25,30,33,24,23
14:52,31,11,1,39,26,,9,29
15:00,22,37,27,45,50,4,38,18
15:07,43,3,41,53,7,5,47,48
15:15,49,10,14,44,6,40,46,21
15:22,34,12,20,28,33,51,15,8
15:30,32,13,23,52,35,36,42,16
15:37,26,29,25,22,24,19,17,2
15:45,35,32,11,41,27,30,18,39
15:52,1,9,43,31,37,44,6,38
16:00,20,4,7,34,33,50,28,3
16:07,14,5,21,16,45,23,13,10
16:15,8,36,48,40,53,47,12,25
16:22,46,17,42,49,15,51,52,2

