Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,25,35,34,23,32,19,20,30
09:11,40,36,31,44,42,38,41,27
09:22,49,21,43,26,47,39,33,37
09:33,48,22,52,51,46,53,50,24
09:44,35,45,30,27,34,29,32,33
09:55,28,6,4,9,7,31,2,3
10:06,1,29,,,36,41,5,8
10:17,28,37,12,42,44,43,38,40
10:28,10,39,15,13,16,14,18,11
10:39,17,49,,,24,47,,
10:50,48,46,51,50,26,45,52,53
11:01,22,4,21,7,19,2,20,6
11:12,3,10,18,5,9,8,23,16
11:23,11,25,17,1,14,13,12,15

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,45,39,52,46,25,53,34,47
14:07,13,8,49,38,1,35,51,48
14:15,4,11,43,42,44,9,3,37
14:22,15,7,10,50,17,14,22,30
14:30,6,19,12,26,41,23,40,16
14:37,33,36,5,31,2,32,24,18
14:45,29,26,28,20,34,27,25,21
14:52,35,13,1,39,24,,9,33
15:00,38,14,4,52,30,45,22,37
15:07,43,8,41,53,3,7,47,48
15:15,10,49,44,6,23,46,40,12
15:22,32,15,19,31,27,51,11,5
15:30,17,42,29,36,21,50,16,28
15:37,33,24,22,20,25,26,18,2
15:45,29,28,13,41,30,34,14,39
15:52,1,9,43,35,37,40,6,38
16:00,19,4,32,7,27,52,31,8
16:07,12,3,21,45,17,23,10,16
16:15,5,36,48,44,53,47,15,20
16:22,2,50,42,49,11,51,18,46

