Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1539832934272,7016384538226326102,318,0,0.1138,0.2967,0.8754,1.2859,(C | KPoint(k=2)),0,0
2,1539832935616,-4924793721927512346,318,0,0.1142,0.2959,0.8754,1.2855,(C | KPoint(k=1)),0,0
3,1539839018144,-4651666252949600665,318,0,0.1145,0.2952,0.8754,1.2851,(C | Uniform),0,0
4,1539832937744,8225947437693655418,318,0,0.1178,0.2577,0.8754,1.2509,(C | LocationCrossover),1,0
5,1539832937632,3968276359691858412,318,0,0.1184,0.2588,0.8695,1.2467,(C | RoundTypeCrossover),0,0
6,1539832934720,1286841930869523012,318,1,0.1135,0.2967,0.8754,1.2856,(C | KPoint(k=2)),0,0
7,1539832937520,-1110424768373862655,318,1,0.1135,0.2967,0.8754,1.2856,(C | RoundTypeCrossover),0,0
8,1539832933152,7875964784078066998,318,1,0.1136,0.2960,0.8754,1.2850,(C | LocationCrossover),0,0
9,1539832933936,-4086415084653480588,318,1,0.1138,0.2868,0.8754,1.2760,(C | KPoint(k=2)),1,0
10,1539839017808,8636760247789832199,318,1,0.1142,0.2774,0.8754,1.2670,(C | KPoint(k=3)),1,0
11,1539832937184,-8218269672895320310,318,1,0.1171,0.2577,0.8754,1.2502,(C | KPoint(k=3)),0,0
12,1539832935952,-4802995043700213336,318,1,0.1178,0.2535,0.8754,1.2468,(C | LocationCrossover),2,1
13,1539832938080,3954424000706034392,318,1,0.1178,0.2588,0.8695,1.2461,(C | KPoint(k=1)),0,0
14,1539839017360,-4552251573900992961,318,2,0.1134,0.2959,0.8754,1.2847,(C | TimeSlotCrossover),0,0
15,1539839018032,-7364212613343050606,318,2,0.1086,0.2967,0.8754,1.2808,(C | Scattered),0,0
16,1539832937408,6107793930895882044,318,2,0.1138,0.2836,0.8754,1.2727,(C | TimeSlotCrossover),1,0
17,1539832935392,-2526162608967224061,318,2,0.1138,0.2720,0.8754,1.2612,(C | LocationCrossover),0,0
18,1539832932480,-4963175940010578529,318,3,0.1134,0.2959,0.8754,1.2847,(C | KPoint(k=3)),0,0
19,1539832937072,-7962590791587241578,318,3,0.1078,0.2960,0.8754,1.2792,(C | TimeSlotCrossover),0,0
20,1539832934832,4251929050913857487,318,3,0.1138,0.2787,0.8754,1.2679,(C | KPoint(k=2)),2,1
21,1539832935504,-7088879702272594439,318,4,0.1134,0.2942,0.8754,1.2830,(C | TimeSlotCrossover),1,0
