Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,47,36,39,33,20,51,52,22
09:11,32,28,34,25,24,30,53,29
09:22,26,43,35,37,31,19,21,46
09:33,38,27,48,6,3,45,40,41
09:44,42,49,34,33,7,29,44,51
09:55,35,30,4,28,8,47,31,2
10:06,12,52,38,16,45,5,40,32
10:17,39,10,,,46,9,15,1
10:28,42,17,36,14,18,50,41,11
10:39,5,43,13,37,,,,
10:50,4,8,48,20,9,44,21,23
11:01,12,24,11,49,2,50,19,14
11:12,25,18,22,6,10,53,17,3
11:23,1,16,15,26,7,13,23,27

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,32,34,18,14,21,29,31,16
14:07,25,23,8,3,43,24,5,17
14:15,35,36,7,53,39,40,41,20
14:22,2,6,52,33,4,1,12,48
14:30,38,8,10,13,43,44,11,9
14:37,26,28,18,37,39,29,17,50
14:45,36,2,15,35,42,41,25,22
14:52,6,27,30,3,20,47,7,52
15:00,31,10,40,34,46,5,21,1
15:07,16,28,15,44,24,13,9,38
15:15,49,27,4,32,7,45,19,33
15:22,42,36,48,51,14,1,23,47
15:30,50,,11,16,2,30,25,3
15:37,12,29,19,46,43,53,40,38
15:45,22,47,34,14,17,45,37,51
15:52,39,49,10,6,26,8,5,20
16:00,50,52,21,44,46,41,48,28
16:07,31,18,27,32,9,24,35,42
16:15,30,45,12,51,26,13,19,4
16:22,37,49,11,15,33,53,23,22

