Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,47,36,39,33,20,51,38,22
09:11,32,28,34,26,24,30,53,29
09:22,27,43,35,37,31,19,21,46
09:33,42,25,52,6,3,45,40,41
09:44,49,48,34,33,7,29,44,51
09:55,35,30,4,28,8,47,31,2
10:06,12,38,42,16,45,5,40,32
10:17,39,10,,,46,9,15,1
10:28,49,17,36,14,18,50,41,11
10:39,5,43,13,37,,,,
10:50,4,8,52,20,9,44,21,23
11:01,12,24,11,48,2,50,19,14
11:12,26,18,22,6,10,53,17,3
11:23,1,16,15,27,7,13,23,25

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,32,34,18,14,21,29,31,16
14:07,26,23,3,8,24,43,17,5
14:15,35,36,7,53,39,40,41,20
14:22,2,6,38,33,4,1,12,52
14:30,42,8,10,13,43,44,11,9
14:37,27,28,18,37,39,29,17,50
14:45,36,2,15,35,49,41,26,22
14:52,6,25,30,3,20,47,7,38
15:00,31,10,40,34,46,5,21,1
15:07,16,28,15,44,24,13,9,42
15:15,48,25,4,32,7,45,19,33
15:22,49,36,52,51,14,1,23,47
15:30,50,,11,16,2,30,26,3
15:37,12,29,19,46,43,53,40,42
15:45,22,47,34,14,17,45,37,51
15:52,39,48,10,6,27,8,5,20
16:00,50,38,21,44,46,41,52,28
16:07,31,18,25,32,9,24,35,49
16:15,30,45,12,51,27,13,19,4
16:22,37,48,11,15,33,53,23,22

