Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,28,29,30,31,32,33,34,35,36
11:15,37,38,,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,47,37,39,34,19,51,28,21
09:11,33,29,35,25,24,31,26,30
09:22,22,43,42,38,32,27,20,46
09:33,53,36,52,6,3,45,40,41
09:44,49,48,35,34,7,30,44,51
09:55,42,31,4,29,8,47,32,2
10:06,12,28,53,16,45,5,40,33
10:17,39,10,,,46,9,15,1
10:28,49,17,37,14,18,50,41,11
10:39,5,43,13,38,,,,
10:50,4,8,52,19,9,44,20,23
11:01,12,24,11,48,2,50,27,14
11:12,25,18,21,6,10,26,17,3
11:23,1,16,15,22,7,13,23,36

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,33,35,18,14,20,30,32,16
14:07,25,23,3,8,43,24,17,5
14:15,42,37,7,26,39,40,41,19
14:22,2,6,28,34,4,1,12,52
14:30,23,24,10,13,43,44,11,9
14:37,22,29,18,38,53,43,17,50
14:45,37,2,15,42,49,41,25,21
14:52,6,36,31,3,19,47,7,28
15:00,32,10,40,35,46,5,20,1
15:07,16,29,39,8,30,26,9,53
15:15,48,36,4,33,7,45,27,34
15:22,49,37,52,51,14,1,50,13
15:30,29,28,11,16,2,31,25,3
15:37,12,30,27,46,44,,40,53
15:45,21,47,35,14,17,45,38,51
15:52,39,48,10,6,22,8,5,19
16:00,50,52,20,44,46,41,47,15
16:07,32,18,36,33,9,24,42,49
16:15,31,45,12,51,22,13,27,4
16:22,38,48,11,15,34,26,23,21

