Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,28,29,30,31,32,33,34,35,
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,24,42,35,44,50,32,36,19
09:11,38,34,33,51,46,43,53,30
09:22,25,27,39,22,29,20,52,31
09:33,28,23,37,3,4,26,40,49
09:44,41,8,33,44,6,30,45,32
09:55,,,2,34,16,9,29,5
10:06,47,36,28,10,31,1,7,48
10:17,35,15,37,50,40,38,18,12
10:28,41,11,42,14,39,43,49,17
10:39,,,13,22,27,24,20,14
10:50,2,16,21,52,1,45,,
11:01,47,46,8,18,5,48,25,9
11:12,51,7,19,3,15,53,11,4
11:23,12,10,17,26,6,13,21,23

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,38,33,7,43,52,30,8,12
14:07,51,21,16,4,46,27,9,11
14:15,39,42,3,5,35,40,50,49
14:22,6,53,36,44,2,12,47,37
14:30,28,16,15,13,27,45,17,1
14:37,25,34,7,22,52,,11,48
14:45,51,19,18,38,29,34,41,10
14:52,3,23,43,4,50,24,6,36
15:00,29,15,40,33,31,9,30,35
15:07,10,34,18,45,46,13,1,28
15:15,23,8,2,48,6,49,20,44
15:22,41,42,37,32,14,12,21,24
15:30,26,39,17,10,5,43,51,4
15:37,47,30,20,31,27,53,40,28
15:45,19,24,33,14,11,26,22,32
15:52,35,8,15,3,25,16,9,50
16:00,7,29,52,45,31,49,36,48
16:07,5,37,46,1,38,23,41,39
16:15,26,14,47,32,25,13,20,2
16:22,42,22,17,18,44,53,21,19

