Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,,20,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,23,38,31,44,50,32,36,25
09:11,47,29,30,46,51,43,20,34
09:22,24,19,37,53,35,21,52,28
09:33,33,22,39,4,9,27,40,42
09:44,41,2,30,44,3,34,45,32
09:55,37,43,8,29,16,6,35,5
10:06,49,36,33,10,28,1,7,48
10:17,31,18,39,50,,,13,12
10:28,41,11,38,14,,,42,17
10:39,47,40,15,53,19,23,,
10:50,8,16,26,52,1,45,21,14
11:01,49,51,2,13,5,48,24,6
11:12,46,7,25,4,18,20,11,9
11:23,12,10,17,27,3,15,26,22

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,47,30,7,14,52,34,2,12
14:07,46,26,16,9,51,19,6,11
14:15,37,38,4,5,31,40,42,50
14:22,3,20,36,44,8,12,49,39
14:30,33,16,18,15,19,45,17,1
14:37,24,29,7,53,31,34,11,48
14:45,46,25,47,13,5,41,35,10
14:52,4,22,43,9,50,23,36,3
15:00,35,18,40,30,28,6,52,
15:07,10,29,13,45,51,15,1,33
15:15,2,22,8,48,3,42,21,44
15:22,41,38,39,32,14,12,26,23
15:30,37,27,17,10,5,43,46,9
15:37,49,34,21,28,19,20,40,33
15:45,25,23,30,14,11,27,53,32
15:52,31,2,18,4,24,16,6,50
16:00,29,39,52,45,28,42,36,48
16:07,35,7,22,47,1,51,41,37
16:15,43,27,49,32,24,15,21,8
16:22,38,53,17,13,44,20,26,25

