Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,20,38,30,44,50,31,36,25
09:11,47,27,32,46,51,43,19,34
09:22,22,26,37,53,35,24,52,33
09:33,28,21,39,4,9,29,40,42
09:44,41,2,32,44,3,34,45,31
09:55,37,43,8,27,16,6,35,5
10:06,49,36,28,10,33,1,7,48
10:17,30,18,39,50,,,13,12
10:28,41,11,38,14,,,42,17
10:39,47,40,15,53,26,20,,
10:50,8,16,23,52,1,45,24,14
11:01,49,51,2,13,5,48,22,6
11:12,46,7,25,4,18,19,11,9
11:23,12,10,17,29,3,15,23,21

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,47,32,7,14,52,34,2,12
14:07,46,23,16,9,51,26,6,11
14:15,37,38,4,5,30,40,42,50
14:22,3,19,36,44,8,12,49,39
14:30,28,16,18,15,26,45,17,1
14:37,22,27,7,53,30,34,11,48
14:45,46,25,47,13,5,41,35,10
14:52,4,21,43,9,50,20,36,3
15:00,35,18,40,32,33,6,52,
15:07,10,27,13,45,51,15,1,28
15:15,2,21,8,48,3,42,24,44
15:22,41,38,39,31,14,12,23,20
15:30,37,29,17,10,5,43,46,9
15:37,49,34,24,33,26,19,40,28
15:45,25,20,32,14,11,29,53,31
15:52,30,2,18,4,22,16,6,50
16:00,27,39,52,45,33,42,36,48
16:07,35,7,21,47,1,51,41,37
16:15,43,29,49,31,22,15,24,8
16:22,38,53,17,13,44,19,23,25

