Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,24,36,32,37,45,35,39,19
09:11,49,34,27,48,47,41,52,31
09:22,25,26,38,22,28,20,46,29
09:33,33,23,43,3,4,30,42,44
09:44,40,8,27,37,6,31,53,35
09:55,41,38,2,34,16,51,28,5
10:06,9,39,33,10,29,1,7,50
10:17,32,18,43,45,42,49,15,12
10:28,40,11,36,14,,,44,17
10:39,,,13,22,26,24,20,14
10:50,2,16,21,46,1,53,,
11:01,9,47,8,15,5,50,25,51
11:12,48,7,19,3,18,52,11,4
11:23,12,10,17,30,6,13,21,23

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,49,27,7,41,46,31,8,12
14:07,48,21,16,4,47,26,51,11
14:15,38,36,3,5,32,42,44,45
14:22,6,52,39,37,2,12,9,43
14:30,33,16,18,13,26,53,17,1
14:37,25,34,7,22,46,14,11,50
14:45,48,19,15,49,5,40,28,10
14:52,3,23,41,4,45,24,6,39
15:00,28,18,42,27,29,51,31,32
15:07,10,34,15,53,47,13,1,33
15:15,23,8,2,50,6,44,20,37
15:22,40,36,43,35,14,12,21,24
15:30,30,38,17,10,5,41,48,4
15:37,9,31,20,29,52,26,42,33
15:45,19,24,27,14,11,30,22,35
15:52,32,8,18,3,25,16,51,45
16:00,34,43,44,29,46,53,39,50
16:07,28,7,23,49,1,47,40,38
16:15,30,,9,35,25,13,20,2
16:22,36,22,17,15,37,52,21,19

