Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2105616941456,1021694497990899735,318,0,0.7832,0.4222,0.2988,1.5042,(C | RoundTypeCrossover),1,0
2,2105610681840,7272757964691895397,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=3)),0,0
3,2105610676464,5133985716588219916,318,0,0.7832,0.4222,0.2988,1.5042,(C | Uniform),0,0
4,2105610680720,7671493944613483517,318,0,0.7832,0.4222,0.2988,1.5042,(C | LocationCrossover),1,1
5,2105610677920,-1167197627003292209,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
6,2105610681056,-9197506662676585996,318,0,0.7832,0.4222,0.2988,1.5042,(C | RoundTypeCrossover),1,0
7,2105610676912,2004344944385334434,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
8,2105610677024,372000491111312090,318,0,0.7832,0.4222,0.2988,1.5042,(C | LocationCrossover),0,0
9,2105616942464,-876984480839375817,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=1)),0,0
10,2105610676240,3872790220234042916,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=3)),0,0
11,2105610679824,-2607840113640102833,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=2)),0,0
12,2105616941120,-8138823155153381896,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
13,2105610678368,-4904397924142335050,318,0,0.7832,0.4222,0.2988,1.5042,(C | Scattered),0,0
14,2105610680944,3365117835636711894,318,0,0.7832,0.4222,0.2988,1.5042,(C | Scattered),0,0
15,2105610677360,-4790415489147366301,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
16,2105616941904,-668081175716274880,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
17,2105610679376,-9163993833952236072,318,0,0.7832,0.4222,0.2988,1.5042,(C | Scattered),1,0
18,2105610680272,8672315195685726849,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=3)),0,0
19,2105610678816,-2673910637859313646,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
20,2105610681952,9051544918899008911,318,0,0.7832,0.4222,0.2988,1.5042,(C | Uniform),0,0
21,2105610679712,-2992213299757412610,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=3)),1,0
22,2105616941344,-447358556271898334,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=3)),0,0
23,2105610679264,-9210806009238751176,318,0,0.7832,0.4222,0.2988,1.5042,(C | Uniform),0,0
24,2105610677472,4267591856014464300,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=1)),1,0
25,2105610676576,-1550089216317731256,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),2,1
26,2105610680496,4923436620236355284,318,0,0.7832,0.4222,0.2988,1.5042,(C | Uniform),0,0
27,2105610680608,-3874551630882268896,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
28,2105610681728,-197704109126900291,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=1)),1,0
29,2105610677136,2703211650923917081,318,0,0.7832,0.4222,0.2988,1.5042,(C | TimeSlotCrossover),0,0
30,2105610681616,-4358456448920422898,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=3)),0,0
31,2105610677696,1271032805461201875,318,0,0.7832,0.4222,0.2988,1.5042,(C | KPoint(k=1)),0,0
