Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,47,36,39,33,20,51,32,23
09:11,27,28,34,25,19,30,24,29
09:22,21,43,35,37,31,52,26,46
09:33,45,49,42,4,3,53,40,41
09:44,38,48,34,33,7,29,44,51
09:55,35,30,6,28,8,47,31,2
10:06,12,32,45,16,53,5,40,27
10:17,39,17,,,46,1,15,9
10:28,38,11,36,14,,,41,18
10:39,5,43,13,37,,,10,50
10:50,6,8,42,20,1,44,26,22
11:01,12,19,18,48,2,50,52,14
11:12,25,10,23,4,17,24,11,3
11:23,9,16,15,21,7,13,22,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,27,34,10,14,26,29,31,16
14:07,25,22,8,3,43,19,5,11
14:15,35,36,7,24,39,40,41,20
14:22,2,4,32,33,6,9,12,42
14:30,45,8,17,13,43,44,18,1
14:37,21,28,10,37,39,29,11,50
14:45,36,2,15,35,38,41,25,23
14:52,4,49,30,3,20,47,7,32
15:00,31,17,40,34,46,5,26,9
15:07,16,28,15,44,19,13,45,1
15:15,48,49,6,27,7,53,52,33
15:22,38,36,42,51,14,9,22,47
15:30,50,,18,16,2,30,25,3
15:37,12,29,52,46,43,24,40,45
15:45,23,47,34,14,11,53,37,51
15:52,39,48,17,4,21,8,5,20
16:00,50,32,26,44,46,41,42,28
16:07,31,10,49,27,1,19,35,38
16:15,30,53,12,51,21,13,52,6
16:22,37,48,18,15,33,24,22,23

