Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,51,39,42,33,20,47,27,21
09:11,32,28,34,26,24,30,25,29
09:22,22,36,35,38,31,46,19,52
09:33,45,49,43,4,3,53,44,37
09:44,41,50,34,33,7,29,40,47
09:55,35,30,6,28,8,51,31,2
10:06,12,27,45,16,53,5,44,32
10:17,42,10,,,52,1,15,9
10:28,41,17,39,14,,,37,11
10:39,5,36,13,38,,,18,48
10:50,6,8,43,20,1,40,19,23
11:01,12,24,11,50,2,48,46,14
11:12,26,18,21,4,10,25,17,3
11:23,9,16,15,22,7,13,23,49

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,32,34,18,14,19,29,31,16
14:07,26,23,8,3,36,24,5,17
14:15,35,39,7,25,42,44,37,20
14:22,2,4,27,33,6,9,12,43
14:30,45,8,10,13,36,40,11,1
14:37,22,28,18,38,42,29,17,48
14:45,39,2,15,35,41,37,26,21
14:52,4,49,30,3,20,51,7,27
15:00,31,10,44,34,52,5,19,9
15:07,16,28,15,40,24,13,1,45
15:15,50,49,6,32,7,53,46,33
15:22,41,39,43,47,14,9,23,51
15:30,48,,11,16,2,30,26,3
15:37,12,29,46,52,36,25,44,45
15:45,21,51,34,14,17,53,38,47
15:52,42,50,10,4,22,8,5,20
16:00,48,27,19,40,52,37,43,28
16:07,31,18,49,32,1,24,35,41
16:15,30,53,12,47,22,13,46,6
16:22,38,50,11,15,33,25,23,21

