Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,,19,20,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,50,36,39,33,19,53,27,21
09:11,32,28,34,25,23,30,24,29
09:22,26,43,35,37,31,45,20,49
09:33,48,52,42,4,3,46,40,41
09:44,38,51,34,33,7,29,44,53
09:55,35,30,6,28,8,50,31,2
10:06,12,27,48,18,46,5,40,32
10:17,39,10,,,49,1,15,9
10:28,38,17,36,14,,,41,11
10:39,5,43,13,37,,,16,47
10:50,6,8,42,19,1,44,20,22
11:01,12,23,11,51,2,47,45,14
11:12,25,16,21,4,10,24,17,3
11:23,9,18,15,26,7,13,22,52

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,32,34,16,14,20,29,31,18
14:07,25,22,8,3,43,23,5,17
14:15,35,36,7,24,39,40,41,19
14:22,2,4,27,33,6,9,12,42
14:30,48,8,10,13,43,44,11,1
14:37,26,28,16,37,39,29,17,47
14:45,36,2,15,35,38,41,25,21
14:52,4,52,30,3,19,50,7,27
15:00,31,10,40,34,49,5,20,9
15:07,18,28,15,44,23,13,48,1
15:15,51,52,6,32,7,46,45,33
15:22,38,36,42,53,14,9,22,50
15:30,47,,11,18,2,30,25,3
15:37,12,29,45,49,43,24,40,48
15:45,21,50,34,14,17,46,37,53
15:52,39,51,10,4,26,8,5,19
16:00,47,27,20,44,49,41,42,28
16:07,31,16,52,32,1,23,35,38
16:15,30,46,12,53,26,13,45,6
16:22,37,51,11,15,33,24,22,21

