Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,,21,22,23,24,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,50,44,41,33,26,53,27,19
09:11,32,28,34,25,23,30,24,29
09:22,20,37,35,43,31,45,21,49
09:33,48,52,38,4,7,46,40,39
09:44,42,51,34,33,3,29,36,53
09:55,35,30,6,28,8,50,31,2
10:06,16,27,48,12,46,5,40,32
10:17,41,18,,,49,1,13,9
10:28,42,11,44,14,,,39,17
10:39,5,37,15,43,,,10,47
10:50,6,8,38,26,1,36,21,22
11:01,16,23,17,51,2,47,45,14
11:12,25,10,19,4,18,24,11,7
11:23,9,12,13,20,3,15,22,52

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,32,34,10,14,21,29,31,12
14:07,25,22,8,7,37,23,5,11
14:15,35,44,3,24,41,40,39,26
14:22,2,4,27,33,6,9,16,38
14:30,48,8,18,15,37,36,17,1
14:37,20,28,10,43,41,29,11,47
14:45,44,2,13,35,42,39,25,19
14:52,4,52,30,7,26,50,3,27
15:00,31,18,40,34,49,5,21,9
15:07,12,28,13,36,23,15,1,48
15:15,51,52,6,32,3,46,45,33
15:22,42,44,38,53,14,9,22,50
15:30,47,,17,12,2,30,25,7
15:37,16,29,45,49,37,24,40,48
15:45,19,50,34,14,11,46,43,53
15:52,41,51,18,4,20,8,5,26
16:00,47,27,21,36,49,39,38,28
16:07,31,10,52,32,1,23,35,42
16:15,30,46,16,53,20,15,45,6
16:22,43,51,17,13,33,24,22,19

