Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2473743073568,-2590118812220669659,318,0,0.8017,0.4472,0.3072,1.5561,(C | TimeSlotCrossover),0,0
2,2473736877584,3539485051397640838,318,0,0.8025,0.4439,0.3072,1.5535,(C | RoundTypeCrossover),0,0
3,2473736879824,4874997309749162428,318,0,0.8025,0.4439,0.3072,1.5535,(C | KPoint(k=3)),1,0
4,2473736876576,-2637197631030918551,318,0,0.8025,0.4439,0.3072,1.5535,(C | Uniform),0,0
5,2473736878704,5070244718161750928,318,0,0.8025,0.4439,0.3072,1.5535,(C | TimeSlotCrossover),0,0
6,2473736879376,2338058024954661870,318,1,0.7995,0.4472,0.3072,1.5538,(C | Scattered),0,0
7,2473736877024,-1445558151418315709,318,1,0.7995,0.4472,0.3072,1.5538,(C | KPoint(k=2)),0,0
8,2473736876688,7363348772042135928,318,1,0.7995,0.4472,0.3072,1.5538,(C | Uniform),0,0
9,2473736879600,-5407282412406212060,318,1,0.7995,0.4472,0.3072,1.5538,(C | RoundTypeCrossover),0,0
10,2473736878816,228069887178067677,318,1,0.7995,0.4472,0.3072,1.5538,(C | TimeSlotCrossover),0,0
11,2473736879488,-5715988463948465967,318,1,0.7995,0.4472,0.3072,1.5538,(C | KPoint(k=3)),0,0
12,2473743073680,-7144034628114223804,318,1,0.7995,0.4472,0.3072,1.5538,(C | Scattered),0,0
13,2473743073456,5214989165513733805,318,1,0.7995,0.4472,0.3072,1.5538,(C | KPoint(k=3)),0,0
14,2473736874560,-2315904278824445852,318,1,0.7995,0.4472,0.3072,1.5538,(C | KPoint(k=1)),1,0
15,2473736876240,-2148157702978098387,318,1,0.7995,0.4472,0.3072,1.5538,(C | LocationCrossover),0,0
16,2473736874448,5169884235222284732,318,1,0.7995,0.4472,0.3072,1.5538,(C | Uniform),0,0
17,2473736875456,-655524356199972120,318,1,0.7995,0.4472,0.3072,1.5538,(C | TimeSlotCrossover),0,0
18,2473736878368,8609723527688744427,318,1,0.7995,0.4472,0.3072,1.5538,(C | TimeSlotCrossover),0,0
19,2473743073904,7761121094868617642,318,1,0.7995,0.4472,0.3072,1.5538,(C | KPoint(k=3)),0,0
20,2473736875232,4146631720072903068,318,1,0.8016,0.4448,0.3072,1.5536,(C | KPoint(k=2)),0,0
21,2473736874336,3229953038267943386,318,1,0.8016,0.4448,0.3072,1.5536,(C | KPoint(k=1)),0,0
22,2473743073344,6880057035702665964,318,1,0.8023,0.4439,0.3072,1.5534,(C | Scattered),0,0
23,2473736875904,-7028418540341518716,318,1,0.8025,0.4422,0.3072,1.5518,(C | Scattered),0,0
24,2473736878480,5569418477260890145,318,1,0.8025,0.4422,0.3072,1.5518,(C | Scattered),1,0
25,2473743074576,-165800096295232160,318,1,0.8025,0.4422,0.3072,1.5518,(C | Scattered),0,0
26,2473736876800,-8459743714821858112,318,2,0.8020,0.4439,0.3072,1.5531,(C | TimeSlotCrossover),0,0
27,2473743074128,-7193018946964723324,318,2,0.8024,0.4422,0.3072,1.5517,(C | RoundTypeCrossover),0,0
28,2473736875344,-7252414427017423381,318,2,0.7974,0.4472,0.3072,1.5517,(C | KPoint(k=3)),0,0
29,2473736875792,-2978821467029962698,318,2,0.8025,0.4399,0.3072,1.5495,(C | KPoint(k=1)),1,0
30,2473736876128,-6444179344045861178,318,3,0.8019,0.4439,0.3072,1.5530,(C | Uniform),0,0
31,2473743073792,-7422832184931730576,318,3,0.6804,0.4448,0.3072,1.4323,(C | KPoint(k=3)),0,0
32,2473743074464,3169215898952891263,318,4,0.8017,0.4439,0.3072,1.5528,(C | Scattered),0,0
33,2473736877808,8986715205786667384,318,4,0.8017,0.4439,0.3072,1.5528,(C | Scattered),1,1
34,2473736879712,-3083505116134880683,318,4,0.8017,0.4439,0.3072,1.5528,(C | Scattered),0,0
35,2473743074240,-1989213670534999221,318,4,0.8017,0.4439,0.3072,1.5528,(C | TimeSlotCrossover),0,0
36,2473736879040,-1218550497295555283,318,4,0.8017,0.4439,0.3072,1.5528,(C | Scattered),0,0
37,2473736874896,-8382471071956318121,318,4,0.8017,0.4439,0.3072,1.5528,(C | LocationCrossover),0,0
38,2473736879264,823736251533820526,318,4,0.8017,0.4439,0.3072,1.5528,(C | KPoint(k=1)),1,0
39,2473743074016,-8033660227185779768,318,4,0.8017,0.4439,0.3072,1.5528,(C | TimeSlotCrossover),0,0
40,2473736877696,7994216690713332759,318,4,0.8017,0.4439,0.3072,1.5528,(C | LocationCrossover),1,0
41,2473743074800,1307046117337572597,318,4,0.8017,0.4439,0.3072,1.5528,(C | KPoint(k=1)),0,0
42,2473736876352,7395906463661046789,318,4,0.8017,0.4439,0.3072,1.5528,(C | Uniform),0,0
43,2473736875680,7792915198583958993,318,4,0.8017,0.4439,0.3072,1.5528,(C | KPoint(k=1)),0,0
44,2473736878928,-4006571996063466048,318,4,0.6803,0.4448,0.3072,1.4323,(C | KPoint(k=2)),0,0
45,2473736875568,-3273765221559915698,318,5,0.7995,0.4439,0.3072,1.5506,(C | KPoint(k=1)),0,0
46,2473736875120,3180223870975096114,318,5,0.7995,0.4439,0.3072,1.5506,(C | KPoint(k=1)),0,0
47,2473743074352,7537850377364490476,318,5,0.7995,0.4439,0.3072,1.5506,(C | LocationCrossover),1,1
48,2473736877248,-3748382991432871504,318,5,0.7995,0.4439,0.3072,1.5506,(C | LocationCrossover),0,0
49,2473736876464,1295840881542709670,318,5,0.7995,0.4439,0.3072,1.5506,(C | Uniform),1,1
50,2473736874672,1944618125596027655,318,5,0.7995,0.4439,0.3072,1.5506,(C | Uniform),0,0
