Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,47,39,32,30,21,51,27,26
09:11,28,33,34,19,23,36,22,29
09:22,25,43,35,40,31,52,24,46
09:33,48,53,38,2,1,45,41,5
09:44,42,50,34,30,3,29,44,51
09:55,35,36,6,33,9,47,31,8
10:06,15,27,48,18,45,37,41,28
10:17,32,16,,,46,4,12,7
10:28,42,17,39,10,,,14,49
10:39,37,43,13,40,,,5,11
10:50,6,9,38,21,4,44,24,20
11:01,15,23,11,50,8,49,52,10
11:12,19,14,26,2,16,22,17,1
11:23,7,18,12,25,3,13,20,53

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,28,34,14,10,24,29,31,18
14:07,19,20,9,1,43,23,37,17
14:15,35,39,3,22,32,41,5,21
14:22,8,2,27,30,6,7,15,38
14:30,48,9,16,13,43,44,11,4
14:37,25,33,14,40,32,29,17,49
14:45,39,8,12,35,42,5,19,26
14:52,2,53,36,1,21,47,3,49
15:00,31,16,41,34,46,37,24,7
15:07,18,33,12,44,23,13,4,48
15:15,50,53,6,28,3,45,52,30
15:22,42,39,38,51,10,7,20,47
15:30,27,,11,18,8,36,19,1
15:37,15,29,52,46,43,22,41,48
15:45,26,47,34,10,17,45,40,51
15:52,32,50,16,2,25,9,37,21
16:00,49,27,24,44,46,5,38,33
16:07,31,14,53,28,4,23,35,42
16:15,36,45,15,51,25,13,52,6
16:22,40,50,11,12,30,22,20,26

