Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1685089430192,5606873456293344490,318,0,0.8091,0.4809,0.3072,1.5972,(C | KPoint(k=3)),0,0
2,1685095940384,8192306364143272499,318,0,0.8091,0.4809,0.3072,1.5972,(C | RoundTypeCrossover),0,0
3,1685089434448,-6829979912167649341,318,0,0.8091,0.4809,0.3072,1.5972,(C | RoundTypeCrossover),0,0
4,1685089431984,-7236066356283182889,318,0,0.8091,0.4809,0.3072,1.5972,(C | RoundTypeCrossover),1,1
5,1685089434672,7472717299423347401,318,0,0.8091,0.4809,0.3072,1.5972,(C | TimeSlotCrossover),0,0
6,1685095940608,-612365086450856446,318,0,0.8091,0.4809,0.3072,1.5972,(C | KPoint(k=1)),1,1
7,1685089434896,773998838967603657,318,0,0.8091,0.4809,0.3072,1.5972,(C | RoundTypeCrossover),1,1
8,1685089434000,7288014789991050639,318,0,0.8091,0.4809,0.3072,1.5972,(C | KPoint(k=2)),0,0
9,1685089433328,8482016454818660257,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),0,0
10,1685089431088,-5920431200764790869,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
11,1685089433552,8814358871234785185,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
12,1685089433664,-4879850136262517921,318,0,0.8094,0.4797,0.3072,1.5963,(C | Uniform),1,0
13,1685089433104,300270617543451761,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),1,0
14,1685089435120,862474302620803111,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
15,1685089435456,1418543639436665796,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
16,1685089432656,-3187421549104902792,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),0,0
17,1685089435008,3994109331853992876,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
18,1685089434784,-6385478962246827756,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
19,1685089435232,5826912049106585157,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
20,1685089430416,-6305556113140962489,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),1,1
21,1685089434224,2653145170530943504,318,0,0.8094,0.4797,0.3072,1.5963,(C | Uniform),0,0
22,1685089431536,7130230695455294847,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
23,1685089434336,8314027450560575839,318,0,0.8094,0.4797,0.3072,1.5963,(C | RoundTypeCrossover),1,0
24,1685089433216,-3337149296717541516,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
25,1685089430864,7012830017536942820,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
26,1685089432992,-3549174775720366139,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),2,2
27,1685095940832,3649217751108830964,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),1,0
28,1685089431424,-491005445984513008,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
29,1685095940272,-2346461069390270065,318,0,0.8094,0.4797,0.3072,1.5963,(C | Uniform),0,0
30,1685095941168,6281979473952202711,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
31,1685089431312,-3975045816723587814,318,0,0.8094,0.4797,0.3072,1.5963,(C | Uniform),0,0
32,1685095941952,-9055120375591051238,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
33,1685089432544,-2662495300957617601,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
34,1685095941616,9168806072545670168,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
35,1685089430528,-6690548100394763063,318,0,0.8094,0.4797,0.3072,1.5963,(C | LocationCrossover),0,0
36,1685095940944,3567519630732925948,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
37,1685089432432,-4503369634201591725,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
38,1685089435344,-8763210468019025893,318,0,0.8094,0.4797,0.3072,1.5963,(C | Scattered),0,0
39,1685089431760,2169480045949438651,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),0,0
40,1685089430752,-4141755249598595033,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
41,1685089432096,-8315723006625003139,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
42,1685089432208,4516046001548083470,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
43,1685095940720,-2153902826862909537,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
44,1685089430976,5789651388637836184,318,0,0.8094,0.4797,0.3072,1.5963,(C | RoundTypeCrossover),0,0
45,1685089430304,1587517827739364143,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
46,1685089430640,-5387723699678605757,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),0,0
47,1685095940160,-1100206556172564129,318,0,0.8094,0.4797,0.3072,1.5963,(C | LocationCrossover),0,0
48,1685089433776,-5847386155362247624,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),1,1
49,1685095941728,-6746318829075849624,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
50,1685089431648,405872072239233798,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),1,0
51,1685095941504,1137771012790729330,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),1,1
52,1685089434112,-456101792139242632,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
53,1685089433440,-7713812304762964811,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
54,1685089431200,5657575427536929307,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),0,0
55,1685089431872,2844982965219660896,318,0,0.8094,0.4797,0.3072,1.5963,(C | Scattered),0,0
56,1685095941840,1069747412335261377,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),0,0
57,1685095941392,-4582319384009640637,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=3)),1,0
58,1685095941056,2660426767971237255,318,0,0.8094,0.4797,0.3072,1.5963,(C | Scattered),2,1
59,1685089434560,-3118258029117401885,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),0,0
60,1685095940496,-3133389903815566562,318,0,0.8094,0.4797,0.3072,1.5963,(C | RoundTypeCrossover),1,0
61,1685089432320,2607592624400530273,318,0,0.8094,0.4797,0.3072,1.5963,(C | Scattered),1,0
62,1685089433888,3878007374352740655,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=2)),1,0
63,1685089432768,-8165321281873587670,318,0,0.8094,0.4797,0.3072,1.5963,(C | KPoint(k=1)),1,0
64,1685089432880,4187856470100476055,318,0,0.8094,0.4797,0.3072,1.5963,(C | TimeSlotCrossover),0,0
