Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,28,29,30,31,32,33,,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,48,43,31,29,24,46,33,23
09:11,34,39,28,27,22,38,19,30
09:22,26,1,35,44,32,49,21,50
09:33,47,52,41,7,3,53,36,5
09:44,42,45,28,29,8,30,37,46
09:55,35,38,4,39,9,48,32,6
10:06,18,33,47,15,50,2,36,34
10:17,31,17,,,53,40,11,16
10:28,42,14,43,13,,,12,51
10:39,,,20,44,1,40,5,10
10:50,4,9,41,24,2,37,21,25
11:01,18,22,10,45,6,51,49,13
11:12,27,12,23,7,17,19,14,3
11:23,16,15,11,26,8,20,25,52

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,34,28,12,13,21,30,32,15
14:07,27,25,9,3,22,1,14,40
14:15,35,43,8,19,31,36,5,24
14:22,6,7,33,29,4,16,18,41
14:30,47,9,17,20,1,37,10,2
14:37,26,39,12,44,31,30,14,51
14:45,43,6,11,35,42,5,27,23
14:52,7,52,38,3,24,48,8,51
15:00,32,17,36,28,50,40,21,16
15:07,15,39,11,37,22,20,2,47
15:15,45,52,4,34,8,53,49,29
15:22,42,43,41,46,13,16,25,48
15:30,33,,10,15,6,38,27,3
15:37,18,30,49,50,1,19,36,47
15:45,23,48,28,13,14,53,44,46
15:52,31,45,17,7,26,9,40,24
16:00,51,33,21,37,50,5,41,39
16:07,32,12,52,34,2,22,35,42
16:15,38,53,18,46,26,20,49,4
16:22,44,45,10,11,29,19,25,23

