Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,74584,67555,61859,61798,60950,73685,65253,59320
09:11,61147,65302,64424,57674,58709,66339,63371,56419
09:22,59828,65867,64425,70462,63372,74586,58408,74585
09:33,73598,71263,31854,3703,13864,74057,67231,66737
09:44,68279,72160,64424,61798,,,67239,73685
09:55,64425,66339,4893,65302,26789,74584,63372,31853
10:06,55394,65253,73598,53313,13867,63371,67231,61147
10:17,61859,54584,31855,74585,74057,18686,40146,71211
10:28,68279,49129,67555,55396,,,53457,54665
10:39,,,58575,70462,65867,18686,66737,51930
10:50,4893,26789,31854,60950,31855,67239,58408,59826
11:01,55394,58709,51930,72160,31853,71211,74586,55396
11:12,57674,40146,59320,3703,54584,56419,49129,13864
11:23,54665,53313,59828,53457,13867,58575,59826,71263

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61147,64424,40146,55396,58408,63371,63372,53313
14:07,57674,59826,26789,13864,58709,65867,49129,18686
14:15,64425,67555,13867,56419,61859,67231,66737,60950
14:22,31853,3703,65253,61798,4893,54665,55394,31854
14:30,73598,26789,54584,58575,65867,67239,51930,31855
14:37,59828,65302,40146,70462,61859,63371,49129,71211
14:45,67555,31853,53457,64425,68279,66737,57674,59320
14:52,3703,71263,66339,13864,60950,74584,13867,71211
15:00,63372,54584,67231,64424,74585,18686,58408,54665
15:07,53313,65253,53457,67239,58709,58575,31855,73598
15:15,72160,71263,4893,61147,13867,74057,74586,61798
15:22,68279,67555,31854,73685,55396,54665,59826,74584
15:30,72160,65302,51930,53313,31853,66339,57674,13864
15:37,55394,63371,74586,74585,65867,56419,67231,73598
15:45,59320,74584,64424,55396,49129,74057,70462,73685
15:52,61859,,54584,3703,59828,26789,18686,60950
16:00,71211,65253,58408,67239,74585,66737,31854,65302
16:07,63372,40146,71263,61147,31855,58709,64425,68279
16:15,66339,74057,55394,73685,59828,58575,74586,4893
16:22,70462,72160,51930,53457,61798,56419,59826,59320

