Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,67239,65253,64425,58408,74057,61147,58575
09:11,64424,68279,63371,60950,59828,67555,61859,56419
09:22,57674,65302,61798,67231,63372,71263,59320,71211
09:33,74584,73685,13864,31855,31853,72160,66737,65867
09:44,66339,74585,63371,64425,,,70462,74057
09:55,61798,67555,13867,68279,31854,73598,63372,26789
10:06,49129,61147,74584,53457,3703,61859,66737,64424
10:17,65253,55396,18686,71211,72160,4893,40146,74586
10:28,66339,54584,67239,54665,51930,53313,,
10:39,,,58709,67231,65302,4893,65867,55394
10:50,13867,31854,13864,58408,18686,70462,59320,59826
11:01,49129,59828,55394,74585,26789,74586,71263,54665
11:12,60950,40146,58575,31855,55396,56419,54584,31853
11:23,53313,53457,51930,57674,3703,58709,59826,73685

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64424,63371,40146,54665,59320,61859,63372,53457
14:07,60950,59826,31854,31853,59828,65302,54584,4893
14:15,61798,67239,3703,56419,65253,66737,65867,58408
14:22,26789,31855,61147,64425,13867,53313,49129,13864
14:30,74584,31854,55396,58709,65302,70462,55394,18686
14:37,57674,68279,40146,67231,65253,61859,54584,74586
14:45,67239,26789,51930,61798,66339,65867,60950,58575
14:52,31855,73685,67555,31853,58408,73598,3703,74586
15:00,63372,55396,66737,63371,71211,4893,59320,53313
15:07,53457,61147,51930,70462,59828,58709,18686,74584
15:15,74585,73685,13867,64424,3703,72160,71263,64425
15:22,66339,67239,13864,74057,54665,53313,59826,73598
15:30,74585,68279,55394,53457,26789,67555,60950,31853
15:37,49129,61859,71263,71211,65302,56419,66737,74584
15:45,58575,73598,63371,54665,54584,72160,67231,74057
15:52,65253,,55396,31855,57674,31854,4893,58408
16:00,74586,61147,59320,70462,71211,65867,13864,68279
16:07,63372,40146,73685,64424,18686,59828,61798,66339
16:15,67555,72160,49129,74057,57674,58709,71263,13867
16:22,67231,74585,55394,51930,64425,56419,59826,58575

