Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2027771088000,-1213282558679743941,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=1)),1,0
2,2027771089008,-7955393659445167233,318,0,0.6429,0.4747,0.9761,2.0937,(C | Scattered),0,0
3,2027771090576,-1092691233004337228,318,0,0.6429,0.4747,0.9761,2.0937,(C | RoundTypeCrossover),0,0
4,2027771093152,-7129452613808429664,318,0,0.6429,0.4747,0.9761,2.0937,(C | LocationCrossover),1,0
5,2027771089456,-7605166696134137162,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=3)),1,0
6,2027771086544,1826019245976843999,318,0,0.6429,0.4747,0.9761,2.0937,(C | Uniform),0,0
7,2027771087664,-7768124259640673756,318,0,0.6429,0.4747,0.9761,2.0937,(C | Scattered),0,0
8,2027771087440,2076506896999325728,318,0,0.6429,0.4747,0.9761,2.0937,(C | RoundTypeCrossover),0,0
9,2027771089904,6896313882495391501,318,0,0.6429,0.4747,0.9761,2.0937,(C | TimeSlotCrossover),0,0
10,2027771088672,8646670034120852583,318,0,0.6429,0.4747,0.9761,2.0937,(C | RoundTypeCrossover),1,0
11,2027771092928,-5053148643362413426,318,0,0.6429,0.4747,0.9761,2.0937,(C | Scattered),1,1
12,2027771091472,-4518475781675693762,318,0,0.6429,0.4747,0.9761,2.0937,(C | LocationCrossover),0,0
13,2027771087328,2417557112643538058,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=1)),1,0
14,2027771089568,2537722808532893103,318,0,0.6429,0.4747,0.9761,2.0937,(C | Uniform),1,0
15,2027771091808,2003368691977423882,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=3)),0,0
16,2027771087776,6498686661622166062,318,0,0.6429,0.4747,0.9761,2.0937,(C | TimeSlotCrossover),0,0
17,2027771090464,-1465779898590094659,318,0,0.6429,0.4747,0.9761,2.0937,(C | Uniform),0,0
18,2027771089344,-2637496693967763319,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=1)),0,0
19,2027771086992,3261562288735226523,318,0,0.6429,0.4747,0.9761,2.0937,(C | Scattered),0,0
20,2027771090240,7789933105165613233,318,0,0.6429,0.4747,0.9761,2.0937,(C | Scattered),0,0
21,2027771088224,-5273741877603711604,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=2)),0,0
22,2027771092816,6491105397371564293,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=1)),0,0
23,2027771092480,-6166095881485642410,318,0,0.6429,0.4747,0.9761,2.0937,(C | Uniform),0,0
24,2027771091136,-41414705668616191,318,0,0.6429,0.4747,0.9761,2.0937,(C | RoundTypeCrossover),0,0
25,2027771091360,4547078706104001832,318,0,0.6429,0.4747,0.9761,2.0937,(C | Uniform),0,0
26,2027771090352,-7127454927790367689,318,0,0.6429,0.4747,0.9761,2.0937,(C | RoundTypeCrossover),1,0
27,2027771088336,-2211667707432349746,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=1)),0,0
28,2027771089232,-5983085523642769326,318,0,0.6429,0.4747,0.9761,2.0937,(C | KPoint(k=3)),0,0
