Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,74586,65302,61859,63371,59826,74057,61798,57674
09:11,64424,67555,63372,59828,60950,68279,61147,58575
09:22,59320,66737,64425,66339,65253,71263,56419,73598
09:33,71211,74584,65867,4893,18686,72160,70462,67231
09:44,67239,74585,63372,63371,,,13864,74057
09:55,64425,68279,26789,67555,13867,74586,65253,31855
10:06,55394,61798,71211,53457,31853,61147,70462,64424
10:17,61859,53313,31854,73598,72160,3703,54584,73685
10:28,67239,49129,65302,51930,54665,40146,,
10:39,,,58408,66339,66737,3703,67231,55396
10:50,26789,13867,65867,59826,31854,13864,56419,58709
11:01,55394,60950,74585,55396,31855,73685,71263,51930
11:12,59828,54584,57674,4893,53313,58575,49129,18686
11:23,40146,53457,59320,54665,31853,58408,58709,74584

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64424,63372,54584,51930,56419,61147,65253,53457
14:07,59828,58709,13867,18686,60950,66737,49129,3703
14:15,64425,65302,31853,58575,61859,70462,67231,59826
14:22,31855,4893,61798,63371,26789,40146,55394,65867
14:30,71211,13867,53313,58408,66737,13864,31854,55396
14:37,59320,67555,54584,66339,61859,61147,49129,73685
14:45,65302,31855,54665,64425,67239,67231,59828,57674
14:52,4893,74584,68279,18686,59826,74586,31853,73685
15:00,65253,53313,70462,63372,73598,3703,56419,40146
15:07,53457,61798,54665,13864,60950,58408,31854,71211
15:15,74585,74584,26789,64424,31853,72160,71263,63371
15:22,67239,65302,65867,74057,51930,40146,58709,74586
15:30,74585,67555,55396,53457,31855,68279,59828,18686
15:37,55394,61147,71263,73598,66737,58575,70462,71211
15:45,57674,74586,63372,51930,49129,72160,66339,74057
15:52,61859,,53313,4893,59320,13867,3703,59826
16:00,73685,61798,56419,13864,73598,67231,65867,67555
16:07,65253,54584,74584,64424,31854,60950,64425,67239
16:15,68279,72160,55394,74057,59320,58408,71263,26789
16:22,66339,74585,55396,54665,63371,58575,58709,57674

