Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,65867,65253,61859,59826,74586,61147,59320
09:11,64424,67555,64425,56419,60950,70462,63372,58408
09:22,59828,67239,61798,68279,63371,71211,58575,71263
09:33,74057,74584,66339,4893,31854,74585,65302,67231
09:44,66737,73685,64425,61859,,,13864,74586
09:55,61798,70462,31855,67555,18686,73598,63371,31853
10:06,49129,61147,74057,53457,26789,63372,65302,64424
10:17,65253,53313,13867,71263,74585,3703,54584,72160
10:28,66737,55394,65867,55396,54665,40146,,
10:39,,,57674,68279,67239,3703,67231,51930
10:50,31855,18686,66339,59826,13867,13864,58575,58709
11:01,49129,60950,73685,51930,31853,72160,71211,55396
11:12,56419,54584,59320,4893,53313,58408,55394,31854
11:23,40146,53457,59828,54665,26789,57674,58709,74584

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64424,64425,54584,55396,58575,63372,63371,53457
14:07,56419,58709,18686,31854,60950,67239,55394,3703
14:15,61798,65867,58408,26789,65253,65302,67231,59826
14:22,31853,4893,61147,61859,31855,40146,49129,66339
14:30,74057,18686,53313,57674,67239,13864,13867,51930
14:37,59828,67555,54584,68279,65253,63372,55394,72160
14:45,65867,31853,54665,61798,66737,67231,56419,59320
14:52,4893,74584,70462,31854,59826,73598,26789,72160
15:00,63371,53313,65302,64425,71263,3703,58575,40146
15:07,53457,61147,54665,13864,60950,57674,13867,74057
15:15,73685,74584,31855,64424,26789,74585,71211,61859
15:22,66737,65867,66339,74586,55396,40146,58709,73598
15:30,73685,67555,51930,53457,31853,70462,56419,31854
15:37,49129,63372,71211,71263,67239,58408,65302,74057
15:45,59320,73598,64425,55396,55394,74585,68279,74586
15:52,65253,,53313,4893,59828,18686,3703,59826
16:00,72160,61147,58575,13864,71263,67231,66339,67555
16:07,63371,54584,74584,64424,13867,60950,61798,66737
16:15,70462,74585,49129,74586,59828,57674,71211,31855
16:22,68279,73685,51930,54665,61859,58408,58709,59320

