Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,74586,65867,63372,61147,59828,73598,64424,58575
09:11,63371,67555,61798,58408,59826,70462,61859,59320
09:22,57674,67239,65253,68279,64425,71263,60950,74057
09:33,71211,72160,66339,4893,31854,74584,65302,67231
09:44,66737,74585,61798,61147,,,13864,73598
09:55,65253,70462,31855,67555,18686,74586,64425,31853
10:06,49129,64424,71211,53457,26789,61859,65302,63371
10:17,63372,53313,13867,74057,74584,3703,54584,73685
10:28,66737,55394,65867,55396,54665,40146,,
10:39,,,56419,68279,67239,3703,67231,51930
10:50,31855,18686,66339,59828,13867,13864,60950,58709
11:01,49129,59826,74585,51930,31853,73685,71263,55396
11:12,58408,54584,58575,4893,53313,59320,55394,31854
11:23,40146,53457,57674,54665,26789,56419,58709,72160

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,63371,61798,54584,55396,60950,61859,64425,53457
14:07,58408,58709,18686,31854,59826,67239,55394,3703
14:15,65253,65867,59320,26789,63372,65302,67231,59828
14:22,31853,4893,64424,61147,31855,40146,49129,66339
14:30,71211,18686,53313,56419,67239,13864,13867,51930
14:37,57674,67555,54584,68279,63372,61859,55394,73685
14:45,65867,31853,54665,65253,66737,67231,58408,58575
14:52,4893,72160,70462,31854,59828,74586,26789,73685
15:00,64425,53313,65302,61798,74057,3703,60950,40146
15:07,53457,64424,54665,13864,59826,56419,13867,71211
15:15,74585,72160,31855,63371,26789,74584,71263,61147
15:22,66737,65867,66339,73598,55396,40146,58709,74586
15:30,74585,67555,51930,53457,31853,70462,58408,31854
15:37,49129,61859,71263,74057,67239,59320,65302,71211
15:45,58575,74586,61798,55396,55394,74584,68279,73598
15:52,63372,,53313,4893,57674,18686,3703,59828
16:00,73685,64424,60950,13864,74057,67231,66339,67555
16:07,64425,54584,72160,63371,13867,59826,66737,65253
16:15,70462,74584,49129,73598,57674,56419,71263,31855
16:22,68279,74585,51930,54665,61147,59320,58709,58575

